id,label,text,view
0,SplashScreen,Loading,android.widget.RelativeLayout android.widget.TextView
1,ProductDetailActivity,MIX SHADE SELECT PRODUCT STEP 3: CHOOSE PRODUCT SELECT SHADECARD STEP 2: CHOOSE SHADECARD COLOUR NAME OR COLOUR CODE STEP 1: FIND YOUR COLOUR COLOUR MIXER,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button
2,GdataLoginActivity,Activate App If You are not received SMS Click here Waiting to retrieve OTP... Activation,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView
3,GdataDashboard,Gdata Download View Formula Price GDATA Current Version :,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
4,MixColorActivity,(The above price is inclusive of all taxes) Cost Shade MRP Cost Total Cost VOLUME COLOURANT,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.TableLayout android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,ProductActivity,SELECT PRODUCT,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
6,ShadeCardActivity,SELECT SHADE CARD,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
7,SettingPreference,Formula Settings,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ImageView
8,ListFavActivity,SAVED LIST,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView
9,DetailActivity,Total Total Price Colorants ShadeCard ShadeCard Pack Pack Base Base SHADE DESC SHADE Shade PRODUCT DESC PRODUCT Product Details,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
10,DownloadActivity,Download Latest Gdata,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ImageView android.widget.TextView
