id,label,text,view
0,SplashScreenActivity,null,android.widget.LinearLayout android.widget.LinearLayout com.aston.manhairstyl.edito.DotsTextView
1,MainActivity,Photo Editor Men Hair Style,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView
2,IMAGE_CAPTURE,null,null
3,PhotoDisplayViewImage,Albums List,android.widget.LinearLayout android.widget.LinearLayout tech.flower.sticker.view.GridRecyclerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
4,CroperView,Crop Image,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.edmodo.cropper.CropImageView com.edmodo.cropper.cropwindow.CropOverlayView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
5,PrivacyPloicy,Privacy Policy,android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
6,MyGalleryAct,No Images Found! 0 My Style Gallery,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
7,MainFlowerEdt,closed Men Hairstyle Editor,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout com.aston.manhairstyl.edito.HorizontalListView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout tech.flower.sticker.view.StickerTextView android.widget.ImageView android.widget.ImageView tech.flower.sticker.view.StickerView$BorderView android.widget.ImageView tech.flower.sticker.view.AutoResizeTextView com.stickerview.StickerViews android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
8,TextAdd,Text here.... A Add Text,android.widget.RelativeLayout android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout com.aston.manhairstyl.edito.HorizontalListView android.widget.RelativeLayout android.widget.ImageView android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView
9,Save_Share_Act,Save Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView
10,FlowerViewAct,0 Choose Style,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
11,ViewImage,My Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView
12,FolderImageActivity,Choose Photo,android.widget.LinearLayout android.widget.LinearLayout tech.flower.sticker.view.GridRecyclerView com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
