id,label,text,view
0,MainUn,Favorite Devices About Settings Support website Pro version,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.Button
1,Fav,Reset Reset favorite devices My A/C My TV My favorite devices,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
2,TV,Popular TVs All TVs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ListView android.widget.TextView android.widget.ListView
3,TVGUI,Volume Add to favorites,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton
4,TV_Sc,power_ir@outlook.com Send us email for support. www.powerir.net Visit the website for instructions. Save and use this TV code Insert the frequency (Hz).Standard is 38000 Hz.Sony use 40000 RCA use 57600 Philips use 36000. Send current TV IR code TV Scanner Reset Auto TV Scanner Stop Auto TV Scanner Start Fast Auto TV Scanner Start TV Scanner Manual - TV Scanner Manual -10 TV Scanner Manual +10 TV Scanner Manual + Press repeatedly the scanner button until your TV turn on.You can find this TV number code into scrollable pop up list or send us by email the brand namemodel and the increment number code.We will send you the IR numbers strings to setup My Remote TV manually. TV Scanner,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,Cable,Popular Set top boxes All Set top boxes,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ListView android.widget.TextView android.widget.ListView
6,CableGUI,Volume Add to favorites,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton
7,Cab_Sc,power_ir@outlook.com Send us email for support. www.powerir.net Visit the support website for instructions. Save and use this Cable code. frequencyB Insert the frequency (Hz).Standard freq for most brands is 38000 Hz.Sony use 40000 RCA use 57600. Transmit the current IR code Scanner Reset Auto Scanner Stop Auto Scanner Start Fast Auto Scanner Start Scanner Manual - Scanner Manual -10 Scanner Manual +10 Box Scanner Manual + Press repeatedly the scanner button until your box turn on.You can find this Cable box number code into scrollable pop up list or send us by email the brand namemodel and the increment number code.We will send you the IR numbers strings to setup My Remote TV manually. Cable / Sat boxes scanner.,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
8,AC,Popular A/C All A/C,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ListView android.widget.TextView android.widget.ListView
9,ACGUI,Fan speed A/C OFF Add to favorites Temperature,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton
