id,label,text,view
0,splashscreenforparents,Micandmac.in Powered by ZINNIA,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView
1,NavigationActivity,ADMIN,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.ExpandableListView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.Button android.widget.TextView android.widget.ImageView
2,LOCATION_SOURCE_SETTINGS,null,null
3,expenserepview,SEARCH BASED ON NAME,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
4,managerappdoctorlistt,SEARCH REP,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
5,ReplistActivity,SEARCH BASED ON NAME,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
6,trackingmainactivity,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.Button
7,expensepage,DOWNLOAD EXCEL REPORT Meeting Leave present SA FR TH WE TU MO SU expenses,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TableRow android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.GridView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
8,onedyreport,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.Button
9,viewclientwisereport,SEARCH RETAILER,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
10,pobpendingview,boooke DUE DATE DR QO NUMBER,android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView
11,Repbasedstokistdisplay,SEARCH DISTRIBUTOR,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
12,viewreprotbasedonstockist,SEARCH DISTRIBUTOR,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
13,viewpobbooking,RETAILER NEED AVAILABILITY PROPOSED PRODUCT Type quantity and additional offer for product CHOOSE PAYMENT TERMS CASH OR CHEQUE CHEQUE CASH DIRECT STOCKIST drname PURCHASE ORDER BOOKING,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RelativeLayout android.widget.Button android.widget.ListView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioGroup android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
14,DateWiseReport,SEARCH RETAILER,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
15,RepViewpobbooking,RETAILER NEED AVAILABILITY PROPOSED PRODUCT Type quantity and additional offer for product CHOOSE PAYMENT TERMS CASH OR CHEQUE CHEQUE CASH DIRECT STOCKIST drname PURCHASE ORDER BOOKING,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RelativeLayout android.widget.Button android.widget.ListView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioGroup android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
