id,label,text,view
0,LoginView,Powered By Help? New User?Register now Login DOB(DDMMYYYY) Registration Number,android.widget.ScrollView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
1,MAIN,null,null
2,MyLandingPage,hshsh school_name GO TO DASHBOARD See more PHOTO GALLERY See more No New Notification NOTIFICATIONS See more No New Message MESSAGES See more DESCRIPTION SUBJECT No Homework HOMEWORK See more ATTENDANCE See more message contents : Class WELCOME Cyber School Manager school_name,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.HorizontalScrollView android.widget.FrameLayout android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView com.avrsh.cybrainschool.core.CircleImageView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
3,FragmentMyResults,null,null
4,VIEW,null,null
5,Home,hshsh Powered By: Registration Number 0 Registration Number 0 Registration Number 0 Registration Number 0 Registration Number 0 Registration Number 0 Registration Number 0 Registration Number 0 Cyber School Manager school_name,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
6,ActionActivity,hshsh,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.view.View
7,ActivationOTP,Powered By submit resend Enter OTP,android.widget.ScrollView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
8,MyProfile,hshsh Go to Dashboard SorryNo Data Found For This Page We'll update it very soon. Address E-mail Mobile DOB - Class Roll No Admission No My Profile My Profile,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.TextView
9,MyInbox,hshsh Select Month Select Sender Filter Go to Dashboard SorryNo Data Found For This Page We'll update it very soon. Inbox INBOX(0/0),android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.TextView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.TextView
10,MyNotifications,Go to Dashboard SorryNo Data Found For This Page We'll update it very soon. Latest Updates Notifications Bluebird Public SchoolPanchkula ()- Cyber School Manager Notifications,android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.view.View android.widget.TextView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
