id,label,text,view
0,MainActivity,Saved Design Create Design Hadist Al quran Instagram Page,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 android.support.v7.widget.CardView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 android.support.v7.widget.CardView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 android.support.v7.widget.CardView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2
1,APPLICATION_DETAILS_SETTINGS,null,null
2,CreateQuotes,ENTER TEXT Drag and Drop to re-order Set Cancel Add atleast 2 colors Add Gradient Store Blur MOVE ADJUST Duplicate Y X Radius Shadow Thickness Stroke Text Regular Text Store Highlight Move Shadow Align Adjust Next Update Design Your text goes here,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout com.ayomi.muslimshare.CreateQuotes$9 android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.Spinner android.widget.TextView android.view.View android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout com.ayomi.muslimshare.customclass.SquareRelativiViewByHeight android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.SquareImageViewByWidth android.widget.RelativeLayout android.widget.RelativeLayout com.ayomi.muslimshare.CreateQuotes$5 android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout com.ayomi.muslimshare.customclass.SquareImageViewByHeight android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout com.ayomi.muslimshare.customclass.SquareImageViewByHeight android.widget.RelativeLayout com.ayomi.muslimshare.customclass.SquareRelativiViewByHeight android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.ayomi.muslimshare.CreateQuotes$3 android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.view.View android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout com.ayomi.muslimshare.CreateQuotes$2 android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.view.View android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.Switch android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.Switch android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Switch android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.ImageView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.support.v7.widget.AppCompatImageView android.widget.RelativeLayout android.support.v7.widget.AppCompatImageView android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.ayomi.muslimshare.classes.CustomTextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.ayomi.muslimshare.classes.CustomTextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.ayomi.muslimshare.classes.CustomTextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView
3,CategoryListActivity,NEXT,android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
4,AuthorsListActivity,NEXT,android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
5,SavedQuotesActivity,CREATE NEW No Saved Quote Design NEXT,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 com.ayomi.muslimshare.customclass.CustomTextViewTypeface2 android.support.v7.widget.RecyclerView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
6,CategoryQuoteListActivity,NEXT Designs,android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
7,SaveActivity,Share Image Save Image Save Design Back,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageView
8,TemplatesCategoryActivity,NEXT Backgrounds,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
9,OnlineFontActivity,NEXT Fonts,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView com.ayomi.muslimshare.customclass.CustomTextViewTypeface com.ayomi.muslimshare.customclass.CustomTextViewTypeface android.widget.RelativeLayout android.widget.ImageView
