id,label,text,view
0,ImageFiltersActivity,0 Sketch,android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout com.github.clans.fab.FloatingActionButton android.widget.LinearLayout android.widget.FrameLayout android.widget.ProgressBar com.ayomi.sketch.ui.filters.ImageViewTarget project.android.imageprocessing.FastImageProcessingView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
1,DoneActivity,Share More Do you like your photo? 0 0 Sketch Art Maker,android.support.constraint.ConstraintLayout com.facebook.ads.NativeAdLayout android.support.v4.widget.NestedScrollView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.support.constraint.ConstraintLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
2,MainActivity,Album Sketch Camera 0 Sketch Sketch 0 0 0 Sketch Art Maker,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.AppCompatImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.AppCompatImageView android.support.v7.widget.AppCompatImageView android.support.v7.widget.AppCompatImageView com.facebook.ads.NativeAdLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
3,CropActivity,Effects only support the Square Photo please crop to continue… 2.35:1 16:10 16:9 14:11 7:5 6:5 6:4 5:4 5:3 4:3 3:2 1:1 Custom Original Crop photo,android.support.constraint.ConstraintLayout android.widget.TextView com.theartofdev.edmodo.cropper.CropImageView android.widget.ProgressBar com.theartofdev.edmodo.cropper.CropOverlayView android.widget.ImageView android.view.View com.ayomi.sketch.views.CropRatioView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView
4,AlbumVideoActivity,null,android.support.constraint.ConstraintLayout android.widget.ProgressBar android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar
5,AlbumSelectActivity,Oops something went wrong! Select photo album,android.widget.RelativeLayout android.support.design.widget.FloatingActionButton android.support.design.widget.FloatingActionButton android.widget.GridView android.widget.FrameLayout android.support.v7.widget.AppCompatTextView android.widget.ImageView android.widget.TextView android.widget.ProgressBar android.support.v7.widget.Toolbar android.widget.TextView
6,ListImageActivity,No image saved Album,android.support.constraint.ConstraintLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar android.widget.TextView
7,CameraFiltersActivity,0 0 0 0 0,android.support.constraint.ConstraintLayout android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView project.android.imageprocessing.FastImageProcessingView
8,PrivacyActivity,Privacy policy,android.support.constraint.ConstraintLayout android.webkit.WebView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
9,AboutActivity,Description info.ayomi.id Contact 0 info.ayomi.id Email 0 Ayomi Company 0 Author 2.0.3 Version 0 Sketch Art Maker About us,android.support.constraint.ConstraintLayout android.support.v7.widget.CardView android.widget.TextView android.support.v7.widget.CardView android.support.constraint.ConstraintLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.support.v7.widget.CardView android.support.constraint.ConstraintLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
10,PreviewImageActivity,0 0 0 Empty photo album,android.support.constraint.ConstraintLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.support.v7.widget.Toolbar android.support.v4.view.ViewPager
11,FrameFiltersActivity,0 Add Frame 0 0,android.support.constraint.ConstraintLayout android.widget.FrameLayout android.widget.ProgressBar android.widget.ImageView android.widget.FrameLayout it.sephiroth.android.library.imagezoom.ImageViewTouch android.widget.ProgressBar android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView
