id,label,text,view
0,CekKoneksi,null,android.widget.RelativeLayout android.widget.ProgressBar
1,Daftarmateri,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
2,MAIN,null,null
3,OverlayActivity,null,android.view.ViewGroup
4,AppWallActivity,null,null
5,Daftarmateri1,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
6,Filterpaket1,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
7,BurungFilterpaket,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
8,BurungPaket,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
9,Paket1,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
10,Filterpaket2,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
11,Paket2,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
12,Filterpaket3,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
13,Paket3,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
14,Filterpaket4,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
15,Paket4,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
16,Filterpaket5,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
17,Paket5,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
18,Filterpaket6,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
19,Paket6,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
20,Filterpaket7,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
21,Paket7,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
22,Filterpaket8,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
23,Paket8,Mohon Aktifkan Koneksi Internet Anda NADA SUARA MASTER KICAU info negara nama negara SUARA KICAU BURUNG MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.webkit.WebView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
24,Filterpaket9,Mohon Aktifkan Koneksi Intenet Anda NADA SUARA MASTER KICAU SUARA BURUNG KICAU MP3 FULL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView
