id,label,text,view
0,C01423,Baby Photo Collage Ads By Card and Dialer Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
1,CEX,Baby Photo Collage Ads By Card and Dialer,android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
2,C014217505,Baby Photo Collage Choose Photo Style Baby Photo Collage,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
3,C013254105,Type Here!!,android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ScrollView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.SeekBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView com.baby.photo.collage.baby.photo.frame.baby.photo.editor.sweet.baby.girl.maker.C014785
4,C014217504,Baby Photo Collage Choose Photo Style Baby Photo Collage,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,C013254104,Type Here!!,android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ScrollView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.SeekBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView com.baby.photo.collage.baby.photo.frame.baby.photo.editor.sweet.baby.girl.maker.C014785
6,C02212,Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Baby Photo Collage Share Your Photo,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.TextView
7,SEND,null,null
8,C99988554313,Change Image Next Photo Text Baby Photo Collage,android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView com.baby.photo.collage.baby.photo.frame.baby.photo.editor.sweet.baby.girl.maker.C9998855438 android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
9,C01654,No Gallery Images Baby Photo Collage Large Text,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
