id,label,text,view
0,LoginActivity,Sign In Already have an account? REGISTER Terms & Conditions I accept Confirm password Password Select service you provide Mobile number Email address Name & Surname I am a .. Sign Registration REGISTER Don't have an account? Sign In Forgot password? Remember me Password Email address Regist Sign In,android.widget.ScrollView android.widget.RelativeLayout android.widget.ViewSwitcher android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.beautipie.widget.CustomTextViewBold com.beautipie.widget.CustomTextView com.beautipie.widget.CustomButton android.widget.LinearLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.v7.widget.RecyclerView com.beautipie.widget.CustomTextView android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.widget.RelativeLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView android.widget.LinearLayout android.widget.LinearLayout com.beautipie.widget.CustomTextViewBold com.beautipie.widget.CustomTextView com.beautipie.widget.CustomButton android.widget.LinearLayout com.beautipie.widget.CustomTextView android.view.View com.beautipie.widget.CustomTextView android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText android.widget.RelativeLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView android.widget.ImageView
1,ForgotPasswordActivity,LOGIN Do you know your password? SUBMIT Email address We just need your registred emailaddress to send you password reset Forgot password,android.widget.RelativeLayout com.beautipie.widget.CustomTextViewBold com.beautipie.widget.CustomTextView android.widget.LinearLayout com.beautipie.widget.CustomButton android.support.design.widget.TextInputLayout com.beautipie.widget.CustomEditText com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView android.widget.ImageView
2,SettingsActivity,Massage Therapist,android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout com.beautipie.widget.CustomTextViewBold android.widget.ImageView
3,SplashActivity,null,android.widget.LinearLayout
4,UserTypeActivity,THERAPISTS USER SELECT USER TYPE,android.widget.LinearLayout android.widget.LinearLayout com.beautipie.widget.CustomTextView android.widget.ImageView android.view.View android.widget.LinearLayout com.beautipie.widget.CustomTextView android.widget.ImageView com.beautipie.widget.CustomTextView
5,BaseActivity,2017 HISTORY,android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextViewBold android.widget.ImageView
6,TherapistBaseActivity,2017 NOTIFICATIONS,android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextViewBold android.widget.ImageView
7,ProductDetailsActivity,BUY Received date and time 2 working days Tracking Status Quantity Order date and time,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout com.beautipie.widget.CustomButton android.widget.LinearLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextViewRajdhani com.beautipie.widget.CustomTextView android.widget.LinearLayout android.widget.ImageView android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
8,ShoppingCartActivity,CHECKOUT SHOPPING CART,android.widget.LinearLayout com.beautipie.widget.CustomButton android.support.v7.widget.RecyclerView com.beautipie.widget.CustomTextView android.widget.RelativeLayout com.beautipie.widget.CustomTextViewBold android.widget.ImageView
9,SelectBookingActivity,Next Back Select time Select date Booking,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.beautipie.widget.CustomButton com.beautipie.widget.CustomTextView android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView com.beautipie.widget.CustomTextView android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView com.beautipie.widget.CustomTextView android.widget.RelativeLayout android.widget.ImageView com.beautipie.widget.CustomTextViewBold
10,BookingActivity,Confirm Back Service charges R your message Add message Select Service needed Your address Booking,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.beautipie.widget.CustomButton com.beautipie.widget.CustomTextView android.widget.LinearLayout com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextViewRajdhani com.beautipie.widget.CustomEditText com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView com.beautipie.widget.CustomTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView com.beautipie.widget.CustomEditText com.beautipie.widget.CustomTextView android.widget.RelativeLayout android.widget.ImageView com.beautipie.widget.CustomTextViewBold
