id,label,text,view
0,LoginActivity,Sign Up Login Password Email Address Login,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,SignUpActivity,null,android.widget.LinearLayout android.widget.FrameLayout
2,ShowDialogActivity,OK Hellow word BeerRightNow,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
3,Home,Medium Text Change Zipcode You are browsing,android.widget.LinearLayout net.simonvt.menudrawer.SlidingDrawer net.simonvt.menudrawer.StaticDrawer net.simonvt.menudrawer.OverlayDrawer android.widget.LinearLayout android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.support.v4.view.ViewPager
4,ShopingCart,Shipping Info Apply Have promo code or coupon? Liquor Products Beer Products $ %. f Order total -$0.00 Discount $ %. f Convenience Fee: $ %. f Pickup Fee: + 1 $ - Tip %. f$ Tax Free Delivery %. f$ Liquor items $ %. f Beer items $ + 1 - $ %. f %. f$ Small Text Medium Text %. f$ WildWest General Provision STORE $ + 1 - $ %. f %. f$ Small Text Medium Text %. f$ WildWest General Provision STORE %. f$ Stores 0 from Products 0,android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.EditText android.view.View android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView
5,KeywordProductDisplay,%. f$ Small Text Medium Text Search Type Price Producers Brands Sort By,android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
6,TakeBreak,null,android.widget.LinearLayout android.webkit.WebView
7,OrderHistory,Add to cart,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
8,SubCategories,Medium Text Browse Entire Collection,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.support.v4.view.ViewPager
9,ProductDisplay,%. f$ Small Text Medium Text Search Type Price Producers Brands Sort By,android.widget.LinearLayout net.simonvt.menudrawer.SlidingDrawer net.simonvt.menudrawer.StaticDrawer net.simonvt.menudrawer.OverlayDrawer android.support.v4.widget.SwipeRefreshLayout android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
10,Support,646-543-0211 Phone : admin@beerrightnow.com Email : Beer wine & liquor - delivered. now.com right beer,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
11,ProductDescription,Add to Cart + 1 - Country of Origin -- Alcohol Content % Reviews 0 --- %. f$ %. f$ 00 $ LAGE BEER,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.RatingBar android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView
12,RatingReview,Checkout Cart Total Medium Text Medium Text Reviews 0 Rating & Reviews,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RatingBar android.widget.LinearLayout android.widget.TextView android.widget.TextView com.mikhaellopez.circularimageview.CircularImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.RatingBar android.widget.TextView
13,ChangeZip,��Always drink responsibly and over the age of 21.You must be 21 or older to use this site.By entering your zip code you confirm that you are of legal ag GO Enter Your ZipCode,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText
14,Splashscreen,null,android.widget.LinearLayout android.widget.ImageView
15,ShippingAddress,Delivery Options Medium Text Medium Text Medium Text Medium Text Use the selected address as your billing address Choose Delivery Address,android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.CheckBox android.widget.TextView
