id,label,text,view
0,MainActivity,click to rate five star to improve app Share app India Health Jobs world Text news Cricket Movie LATEST Tamil Latest Business News7 Live Puthiya Thalaimurai Live Polimer live SunLive,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c
1,Privacypolicy,Privacy Policy,android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.webkit.WebView
2,AudienceNetworkActivity,null,android.view.ViewGroup android.view.ViewGroup
3,InterstitialAdActivity,null,null
4,Main2Activity2,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.view.View android.widget.Button android.view.View android.widget.Button android.view.View
5,Main3Activity3,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.view.View android.widget.Button android.view.View android.widget.Button android.view.View
6,Main6Activity6,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.AdView com.facebook.ads.internal.o.c android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
7,Main8,Home Share app,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.AdView android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
8,Main9,Home Share app,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.AdView android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
9,Main10,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.internal.DisplayAdController com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
10,Main11,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
11,Main12,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c com.facebook.ads.AdView android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
12,Main13,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
13,Main14,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout com.facebook.ads.AdView com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.DisplayAdController com.facebook.ads.internal.o.c android.widget.ProgressBar android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
