id,label,text,view
0,StartAppScreenActivity,Share App Birthday Photo Effect Video Maker Rate App Birthday Photo Effect Video Maker Created Video Birthday Photo Effect Video Maker Video Effect Birthday Photo Effect Video Maker Multiple Photo Birthday Photo Effect Video Maker Single Photo Birthday Photo Effect Video Maker Reserve Space for admob_Ads Birthday Photo Effect Video Maker,android.widget.RelativeLayout android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.webkit.WebView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.TextView
1,MultiPhotoProgressActivity,Reserve Space for admob_Ads Please wait video saving in a moment! Creating Video 00% Video Saving in Progress,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView
2,CropVideoActivity,Reserve Space for admob_Ads Please wait video Trimming in a moment! Creating Video 00% %02d:%02d:%02d 00:00:00 00:00:00 Trimming Video in Progress,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.videolib.libffmpeg.e com.cropvideo.squreblur.activity.p android.widget.SeekBar android.widget.ImageButton android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.VideoView android.widget.RelativeLayout android.widget.Button android.widget.TextView
3,SEND,null,null
4,ExitAppAdActivity,Loading Advertisement Popular apps(Ads),android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
5,VideoCreationActivity,Album not Created yet Created Video,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.photo.animation.effect.video.apps.view.EmptyRecyclerView android.widget.RelativeLayout android.widget.Button android.widget.TextView
6,MultiPhotoSelectionActivity,Images not selected yet (1) clear Select Photo,android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.photo.animation.effect.video.apps.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.photo.animation.effect.video.apps.view.EmptyRecyclerView android.widget.RelativeLayout android.widget.TextView com.photo.animation.effect.video.apps.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView
7,EkloPhotoPreviewActivity,Select Duration Preview Birthday Photo Effect Video Maker 00:00 00:00 Change the style Birthday Photo Effect Video Maker,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.photo.animation.effect.video.apps.view.PreviewImageView com.photo.animation.effect.video.apps.view.PreviewImageView
8,AddMusicEditActivity,End: Fast forward Play Rewind Start: . .0 . .0 Select Music,android.widget.FrameLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.EditText android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.AbsoluteLayout com.photo.animation.effect.video.apps.view.MarkerView com.photo.animation.effect.video.apps.view.MarkerView com.photo.animation.effect.video.apps.view.WaveformView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView
9,EkloPhotoProgressActivity,Reserve Space for admob_Ads Please wait video saving in a moment! Creating Video 00% Video Saving in Progress,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView
