id,label,text,view
0,MainActivity,Powered By : kiseri codashop moonton MobileLegends MOBA to WIN,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
1,Signin,Please Connect to image MOBATOWIN,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.common.SignInButton
2,Home,null,android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout
3,Verification,Next (optional) Enter Referral Code : Device ID Profile name : Name KiseriCorp@gmail.com,android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
4,Referral,*Referral must have 100 Claims to be Get Reward username You have new referral,android.widget.RelativeLayout android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView android.widget.RelativeLayout android.widget.TextView
5,Send,Message Sent!. Go back to main menu Send required! message username e-mail usr username Send Message,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.TextView
6,Message,reply message From : Date Inbox - Message,android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView
7,Claim,start,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView com.google.android.gms.ads.AdView android.widget.Button com.github.lzyzsd.circleprogress.ArcProgress android.widget.TextView
8,Bonus,From : image + 5 Bonus referral,android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
9,Detailreferral,claim Not Yet username image claim Not Yet username image *Every active referral (100 claim) you will get +5 point List Referral,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView
10,Detailwithdraw,image 100 ID Transaction : 2018/1/10 22:10:55 status : SUCCESS Startlight Member image image 100 ID Transaction : 2018/1/10 22:10:55 status : SUCCESS Startlight Member image History Withdraw,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
11,Redeemprocess,Process note (opsional) image Mobile Legend 36 Diamond image Detail ) required! ( required! image Input Game ID Redeem Process,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
12,Redeemsuccess,ID Game : Detail image Mobile Legend 11 Diamond image Status : PENDING ID Transaction : info Redeem Success,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
13,Diamond,note / receipt ID Game : ID Transaction : image Mobile Legend 11 Diamond image 2018/1/10 22:10:55 Transaction Successful,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView
