id,label,text,view
0,FacebookActivity,null,android.widget.FrameLayout com.bits.masafi.animation.ParticleField
1,PromotionStatic,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
2,MainActivity,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
3,CartListActivity,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
4,GridViewActivity,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
5,RecuringOrderView,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
6,SplashScrennActivity,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout com.bits.masafi.animation.ParticleField com.facebook.drawee.view.SimpleDraweeView
7,SETTINGS,null,null
8,HomePage,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
9,BaseActivityTwo,null,null
10,ICashDetail,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
11,LogingActivity,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
12,RetailLoginNew,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
13,ConsumerDashBoard,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
14,PaymentHistry,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
15,TermActivityTwo,Logout Powered by BITS,android.support.v4.widget.DrawerLayout com.bits.masafi.animation.ParticleField android.support.design.widget.NavigationView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ListView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
