id,label,text,view
0,MainActivity,Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading....,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
1,b25,Myself : Hello I’m Tamal. Are you here for the first time?Foreigner :Hello I’m Tanaka from Japan. This is my first visit to Bangladesh.Myself : Can I help you?Foreigner : Yes at first I want to go to Cox’s Bazer the longest sea-beach in the world. And then to other beautiful places. Will you please guide me?Myself :Of course How do you like to goby bus by train or by air?Foreigner :I’d like to go by bus.Myself :O. k I’ll make an arrangement to go there. Where will you stay this night?Foreigner : Oh I want to rest the night in any good hotel in Dhaka.Myself : Here are the addresses of some aristocratic hotels in Dhaka.Foreigner : Thank you very much. A dialogue between yourself and a foreigner who has come to Bangladesh for the first time.,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
2,b2,Friend : Assalamu Alaikum.Myself : Walaikum Assalam.Friend : How are you my friend?Myself : Alhamdulillah and you?Friend : Mash Allah I am Ok.Myself : Where did you go last week?Friend : I went to Bagerhat last week.Myself : But why?Friend : Just to pay a visit .Myself : But why Bagerhat?Friend : It is a place of historical interest.Myself: Is there anything related to history?Friend : Sure! Have you heard the name of Khanjahan Ali?Myself : Yes He was a great saint in this subcontinent.Friend : Do you know the full name of Khanjahan Ali?Myself : Actually I don’t know. What is that?Friend : HIs full name was Ulug Khanjahan Ali.Myself : What did you visit there?Friend : I visited Shat Gumbuj Mosque Ghora Dighi and the majar of Khanjahan Ali.Myself : What did you enjoy most?Friend : It was the Shat Gumbuj Mosque the best architectural creation of Khanjahan Ali.Myself : What did he build there more?Friend : He made a vast tank of sweet water by the side of his majar for the local people. There were two crocodiles named 'Kala Pahar and Dhala Pahar.' But they are no more now.Friend: Thank you also. A dialogue between two friends about visiting a place of historical interest,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
3,b18,Friend : Hi friend How are you?Myself : I am fine and you?Friend : I am not so fine.Myself : But why?Friend : My uncle is very sick.Myself : What kind of sickness?Friend : He has been suffering from cancerMyself : What type of cancer?Friend : It is liver cancer.Myself : How is he attacked with liver cancer?Friend : He is a chain smoker.Myself : How long has he been smoking?Friend : It is about 30 years.Myself : 30 years! It is really a long time. But how is it related to cancer?Friend : Smoking is the source of all kinds of fatal diseases like bronchitis heart attack cough cancer and so on.Myself : Smoking is really very injurious for health.Friend : Why is smoking injurious?Myself : Smoke contains nicotine. It is one kind of harmful poison for human body.Friend : What is the worst effect of smoking?Myself : It ruins the golden future of a man specially a student who starts smoking.Friend : Anything more?Myself : Smoking makes a man impolite sometimes it makes a man hijacker.Friend : What should we do to get rid of smoking?Myself : We should be aware of the bad effect of smoking to get rid of it.Friend : Thank you.Myself : Welcome. A dialogue between two friends about the bad effect of smoking,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
4,b9,Myself : Hello my friend how are you?Friend : I am fine and you?Myself : I am also fine. Where are you going now?Friend : I am going to British council.Myself : But why?Friend : To learn English.Myself : Why do you want to learn English is it very important?Friend : Of course it is very important.Myself : Will you explain it please?Friend : Why not? You know that English is an International Language.Myself : So what?Friend : The world cannot go for a single day without English.So it very easy to understand the importance of learning English.Myself : Is there anything more to indicate the importance of learning English?Friend : Yes if you follow you will find that most of books magazines papers and other research books are written in English.Myself : O I see. You are correct. I think more than thisFriend : What is that.Myself : It is the age of information communication and science.Friend : So what?Myself : These media are conducted in English.Friend : You mean no one can do anything using these media without English.Myself : Yes you have come to the point.Friend : This is the reality. To keep you updated there is no other alternative to learn English.Myself : It is obviously true.Friend : Thank you my friend.Myself : Thank you also. A dialogue between two friends about the importance of learning English.,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
5,b21,Myself : Assalamu Alaikum.Friend : Walaikum Assalam.Myself : How are you my friend?Friend : I am very excited and you?Myself : Alhamdulillah. But why are you excited?Friend : My favourite team won the world cup football 2014.Myself : Do you like football much?Friend : Yes it is my favourite game.Myself : Why is football your favourite game?Friend : I think it is very exciting.Myself : Which option do you like most in the football match?Friend : I like the pass and goal most in the football match.Myself : I also like football but it is not my favourite game.Friend : What is your favourite game?Myself : It is cricket.Friend : Would you tell me why is it your favourite game?Myself : Sure bating and bowling are the main attraction of cricket match.Friend : Yes you are right but I think cricket is boring.Myself : Why do you think so?Friend : It takes a long time to finish a match. Very often we don’t have so much time to enjoy the game.Myself : But now a day it is very popular to the people.Friend : But I don’t think so as it is a cool game.Myself : Have you ever participated in any football match yourself?Friend : Yes very often I participate myself in football match in our school play ground. Do you?Myself : Whenever I get an opportunity I take part in cricket with my friends.Friend : Actually it is very interesting to play one’s favourite game.Myself : You are correct and thank you.Friend : Thank you also. Write a dialogue between two friends about favorite game,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
6,b11,Tania : Excuse me. I think you are a new comer.Farhana : Yes.Tania :I’m also a new comer.Farhana : Glad to meet you. Where have you come from?Tania : My father is a government officer. Now he has transferred to Dhaka. So I have come here.Farhana : My father is a doctor.Tania : Why have you chosen this school?Farhana : You know that this school is supposed to be the best school in this city. The teachers are reputed and the academic system of this school is up –to-date.Tania :You are right.I also admitted for this reason.Farhana : What is your aim?Tania :I want to be a dotor.And your aim?Farhana : I want to study computer engineering.Tania :Thank you.Have you got class routine?Farhana : Yes.You can get it from my diary.Tania :Thank you very much.Farhana : You are mostly welcomed. A dialogue between newcomers at School.,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
7,b14,Friend : Assalamu Alaikum.Myself : Walaikum Assalam.Friend : How are you my friend?Myself : Alhamdulillah. But you?Friend : Masallah. I am also well by the grace of Allah.Myself : Why did you not receive my phone yesterday?Friend : I was busy with online activities.Myself : What is online activities?Friend : I mean internet activities.Myself : What are the activities of internet?Friend : The activities of internet are dealing information communication technology and science.Myself : Would you please explain?Friend : Sure. Why not?Myself : Please tell me some functions of internet.Friend : Email face book Skype and many others activities.Myself : What is face book?Friend : It is a social network. You can always keep your friends in touch of you using face book.Myself: But Skype?Friend: It is another interesting function. You can see the moving picture and talk with the person from the other side at the same time.Myself: Really?Friend: YesMyself: How funny it is!Friend: Thank you.Myself: welcome. A dialogue between two friends about the use of Internet,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
8,b6,Myself : Hi friend How are you?Friend : I am fine and you?Myself : I am well and very excited.Friend : But why?Myself : Don’t you know the result of my JSC exam?Friend : Actually I don’t know. Please tell me.Myself : I have got golden A+.Friend : Oh! Really?Myself : Yes.Friend : Congratulation! How have you achieved such a brilliant result?Myself : It was for hard study and perseverance.Friend : Will you tell me about perseverance?Myself : Why not?Friend : Please explain.Myself : Perseverance means study with determination.Friend : I am not clear. Please explain more.Myself : I mean study to achieve a target and it is a brilliant result.Friend : But is it enough for making such a brilliant result?Myself : O “No” There are something more behind it.Friend : What are they?Myself : Help of the teachers proper guidance of the parents and above all determination.Friend : You are really a genius.Myself : As you sayFriend : Thank you my friend.Myself : You are most welcome. A dialogue between two friends about a brilliant success,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
9,b1,Friend : Assalamu Alaikum.Myself : Walaikum Assalam.Friend : How do you do my friend?Myself : Alhamdulillah and you?Friend : Also well.Myself : Where are you going now?Friend : I am going to a book shop.Myself : Do you want to buy any book?Friend : Yes you are right. Very often I buy different kind of books.Myself : Very often but why?Friend : I like to read book very much.Myself : Is it your hobby?Friend : Yes it is my hobby.Myself : Which book will you buy today?Friend : I will buy ‘Biswanabi’ by Golam Mostafa.Myself : What is the characteristic of this book?Friend : I heard from one of my teachers that it is the best book to know our prophet and Islam at a glanceMyself : O I see.Friend : But now tell me what is your hobby?Myself : My hobby is travelling.Friend : Do you feel interest in travelling?Myself : Yes it is very interesting to me because I can achieve practical knowledge by travelling.Friend : When do you take travel?Myself : Whenever I get opportunity.Friend : Thank you for sharing your hobby.Myself : Thank you also. A dialogue between two friends about hobbies,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
10,b24,Myself : Assalamu Alaikum.Friend : Walaikum assalam. How are you my friend?Myself : Alhamdulillah. What about you?Friend : By the grace of Allah I am well.Myself : Dear friend I have something to ask you.Friend : Oh sure! Why not?Myself : Would you tell me about deforestation?Friend : Deforestation means cutting trees at random.Myself : Is it beneficial for us?Friend : Oh ‘No’ It is never be beneficial.Myself : What is the negative impact of deforestation?Friend : There is no positive impact of deforestation. All are negative.Myself : Would you explain some of them?Friend : It is the first threat to our environment.Myself : Can it cause any bad effect on our weather?Friend : Not only weather but it also can cause greenhouse effect.Myself : Really?Friend : Yes this is the reality.Myself: Anything negative more?Friend: It can turn a country into desert.Myself : What should we do now?Friend : We should stop deforestation and plant more and more trees.Myself : Thank youFriend : Thank you also. A dialogue between two friends about deforestation,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
11,b20,Myself: Hi friend how are you?Friend : I am fine and you?Myself: I am also fine.Friend : How have you enjoyed your study tour?Myself: Excellent! It was really awesome.Friend : What do you mean?Myself: I mean I enjoyed the tour with very excitement.Friend : O I see. Which places did you visit actually?Myself: It was MoynamotiCimilla Cox’s Bazar and Saint Martin.Friend : How many days did you need to complete the study tour?Myself: It took 4 days.Friend : How is Moynamoti?Myself: It is a place of historical interest.Friend : What place was most interesting to you?Myself: Cox’sBazar. It was very interesting to me.Friend : What place of Cox’s Bazar did you attract you most?Myself: The 127 km sea beach at a stretch attracted me most.Friend : Did you visit Himchori (হিমছড়ি)?Myself: Yes. It was also very interesting.Friend : But Saint Martine?Myself: It was my first journey to Saint Martine.Friend : What was attractive to you at Saint Martin?Myself: The coral island and cheradip (ছেড়া দ্বীপ) were the attractive at Saint Martin to me.Friend : Who accompanied you?Myself: All my teachers and students of our school.Friend : What is your feeling about the study tour?Myself: I found so interest that I will never forget it in my life. Thank you.Friend : Thank you also. A dialogue between two friends about a study tour,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
12,b23,Friend : Hi friend How are you?Myself : I am fine and you?Friend : I am also fine.Myself : Why are you here so early?Friend : I always get up early in the morning.Myself : But why?Friend : I know that early rising is good for health.Myself : What do you mean?Friend : I mean it is a good habit.Myself : What is the benefit of early rising?Friend : There is much benefit of it.Myself : Do you explain?Friend : Why not?Myself : Please.Friend : An early riser gets enough time. He can say his morning prayer. He can enjoymorning air can take some physical exercise.Myself : Anything more?Friend : He can enjoy the chirping of birds can have a walk on the grass.Myself : But can he enjoy the morning sweet bed?Friend : Do you think it very essential?Myself : Yes I like to enjoy morning bed very much.Friend : But do you know that early rising is more important than morning bed?Myself : Actually I don’t know. Please tell me some.Friend : There is a proverb “Early to bed and early to rise makes a man healthy wealthy and wise.Myself : How fine the verse is!Friend : Thank you.Myself: You are most welcome. A dialogue between two friends about early rising.,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
13,b7,Mahi : Hi Safi.How have you done in the examinationSafi : Oh! Excellent! What about you ?Mahi : No I could not do well.Safi : But the questions were very easy.Mahi : Yes I have no problem with the questions. I could not answer all the questions within the scheduled time.Safi : How many questions have you left?Mahi : I have left question no 2 which covers 10 marks.Safi : Oh it’s very shocking. Don’t worry. You’re a bright student. Try to meet up the loss through the nex Examinations.Mahi : Thank you for your cordial suggestion. See you tomorrow.Safi : You’re welcome. Wish you good luck. See you. A dialogue between two students who have just come out from the examination.,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
14,b15,Myself : Assalamu AlaikumManager : Walaikum AssalamMyself : May I come in sir?Manager : Yes of course.Myself : Can I have a seat sir?Manager : Sure.Myself : Thank you.Manager : Welcome. What can I do for you?Myself : I want to open an account with your bank.Manager : Ok it’s very good.Myself : But I don’t know how to open an account sir.Manager : Will you tell me what kind of account you want to open?Myself : Actually I have got a handsome amount of money as scholarship.Manager : And now you want to save it OK?Myself : Yes you are right sir.Manager : I am giving you a form to fill it up. Just fill it up with the information required in different serial. After filling up the form come to me with two passport size photographs of you and another copy of photograph of your beneficiary.Myself : What type of account am I going to open sir?Manager : It is a saving account.Myself : Would you explain what is saving account?Manager : It means you can save any amount of money at any time and you can withdraw any amount from your account at any time.Myself : O I see. Do I need to do anything more?Manager : Yes. You have to deposit an amount of initial money to open the account.Myself : What is the amount sir?Manager : It may be at least one hundred or more than one hundred.Myself : Thank you sir for your kind cooperation.Manager : You are most welcome. A dialogue between you and the manager of a bank about opening a bank account,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
15,b4,Myself : Assalamu Alaikum Warahmatullah.Friend : Walikum Assalam Warahmatullah.Myself : How are you my friend?Friend : Alhamdulillah and you?Myself : Mash Allah I am fine.Friend : Let us go to a newspaper stall.Myself : But why?Friend : To meet my thirst.Myself : What do you mean? Why do you need to go to newspaper stall to meet thirst?Friend : I mean thirst of newspaper.Myself : I cannot understand your word.Friend : It is very easy. I cannot start my day without reading newspaper.Myself : Please explain it to me.Friend : Newspaper is the current mirror of the world.Myself : What does it mean?Friend : It means newspaper gives us all kinds of news of both home and abroad.Myself : What do you mean by all kinds of news?Friend : All kinds of news means social political business games and sports education invention and discoveries amusements and so on.Myself : Does it give us only news?Friend : No. It also gives us the views of the mass people.Myself : Anything more?Friend : Yes. Editorial and research news.Myself : Which option of the paper is most important to you?Friend : Headlines and editorials.Myself : Is it very important to read newspaper regularly?Friend : Of course. Newspaper opens the windows of our outlook. It keeps us updated with the current world. To keep pace with the world it is most important to read newspaper regularly.Myself : You are right. Thank you for sharing the importance of reading newspaper.Friend : See you again. A dialogue between two friends about the importance of reading newspaper,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
16,b12,Myself: Assalamu Alaikum.Friend: Walaikum Assalam. How are you?Myself: Alhamdulillah. What about you?Friend: Well by the grace of Allah.Myself: Where are you going now my friend?Friend: I am going to the nursery.Myself: Nursery! But why?Friend: To buy sapling.Myself: What will you do with the sapling?Friend : Tree plantation.Myself: Please explain.Friend: Trees are the most important element of our environment. It supplies oxygen and receives carbon dioxide that we always leave.Myself: What more?Friend: Tree keeps our ecological balance protects river erosion provides sheds to our beasts and birds.Myself:Does it play any role of filling the demand of food?Friend: Sure. It supplies us with all kinds of food we eat.Myself: I am agree with you. But I see something more than oxygen and food.Friend: What are those?Myself: Furniture fuel and medicine. All these are the part and parcel of our daily life.Friend: I am grateful to you for sharing your valuable views and ideas.Myself: Thank you my friend.Friend: You are most welcome. A dialogue between two friends about the importance of tree plantation,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
