id,label,text,view
0,Start,null,android.widget.LinearLayout
1,Url,Continue >> http://example.com,android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.ImageView
2,pinver,Continue PIN,android.widget.RelativeLayout android.widget.Button android.widget.EditText
3,Welcome,Logout Internet Sms Bidyut Bill Add Bal Flexiload Resellers History Add Reseller email urlphonedevicepasstoken TK. Avilable Balance,android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v4.widget.NestedScrollView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
4,MainActivity,Register new account Login Password Username,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.ImageView
5,Dlock,Unlock Device Lock Device Your PIN,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.EditText
6,Password,Save Confirm Password New pass Current Password,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText
7,Pinc,Save Confirm PIN New PIN Current Pin,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText
8,DisplayActivity,Continue Pin Amount Mobile Number Postpaid Prepaid,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton
9,DisplayActivitya,Medium Text Continue BD mobile NO+ Name Pin Amount Mobile Number Send money Cash Out Cash In,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout
10,Addres,Add My pin Password PIN Phone First & Last name Email Username,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText
11,Myreseller,Search ............................,android.widget.RelativeLayout android.widget.RelativeLayout android.support.design.widget.CoordinatorLayout android.support.design.widget.FloatingActionButton android.widget.ListView android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.EditText
12,Editres,Save New Password New PIN Phone Number First & Last name Email Username,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText
13,Payment,Continue message.. Pin Amount 00 Return Payment,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton
14,Signin,Log in Registration Last name Last name First name First name Password Password mobile number Mobile Number,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
15,Smssend,Continue Pin Type here.... Mobile Number,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout
16,Bank,Continue Pin Amount Mobile number Metter Number,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Spinner
17,Internet,Subject Subject GP Operator >>,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView
18,InternetActivity,Continue Pin Mobile Number Postpaid Prepaid,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout
