id,label,text,view
0,StartActivity,null,android.widget.LinearLayout
1,LoginActivity,Register Forgot password Log in PWD Password PHONE Account,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView
2,FragmentPage61,Notify History,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
3,MyAccountActivity,BodyCorpSecure.com,android.widget.ScrollView android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
4,ForgetActivity1,Update Send Verification code mobile phone number Mob No. Forgot password,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
5,ChooseActivity,Log in Register,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ImageView
6,MyMailActivity,Device ID: Box ID: Record: 0 Mail Message,android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
7,FragmentPage0,BodyCorpSecure.com,android.widget.LinearLayout android.support.v4.app.FragmentTabHost android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView
8,RegisterActivity,Update If you dont have an Australian mobile phone number please get verification code by email 1~6 character Re-enter password 1~6 character Password Verification code Verification code Send Email abc@gmail.com Email Send SMS mobile phone number Mob No. Register,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
9,MyPwdActivity,Update 1~6 character Re-enter password 1~6 character New password 1~6 character Current password Reset Password,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
10,MyHelp,How to use My Parcel Locker?,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
11,ForgetActivity2,Update 1~6 character Re-enter password 1~6 character New password Forgot password,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
12,OrderDetailActivity,Open Locker Pin Code Recipient Deliverer Parcel status Pick up Drop in %04d Box No. Location ID My Parcel Detail,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageButton android.widget.TextView android.widget.FrameLayout android.widget.ImageButton
