id,label,text,view
0,Main,No,android.widget.LinearLayout android.view.View android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View com.google.android.gms.ads.AdView
1,Table,€%%€%€€€%€€€%€€%€€ €%%€%€€€%€€€%€€%€€ €%%€%€€€%€€€%€€%€€ €%%€%€€€%€€€%€€%€€ Provider Interest income Yield Product Provider,android.widget.LinearLayout android.view.View android.widget.ListView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView com.google.android.gms.ads.AdView
2,Details,Provider To offering,android.widget.ScrollView android.widget.LinearLayout android.widget.ImageView android.widget.Button android.widget.TextView com.google.android.gms.ads.AdView
3,About,© nmann77 - Fotolia.com© abdulsatarid - Fotolia.com© ivzfoto - Fotolia.com Pictures info@currency-table.com Contact Frankfurt am Main Germany M. Brodski Software Developer Investing in Germany App,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.Button android.view.View
4,Crowdinvesting,Search and compare Country Duration Crowdinvestings,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.view.View
5,Roboadvisor,Search and compare orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Savings Plans orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Initial Amount Robo-Advisors,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TextView android.view.View
6,Cfdbroker,Search and compare Underlying orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Trades p.m. Volume pro Trade CFD Brokers,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.view.View
7,Forexbroker,Search and compare Underlying orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Trades p.m. Volume pro Trade Forexbrokers,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.view.View
8,Depot,Search and compare orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Total order number orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Number of Internet-order orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Order volume orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Depot volume Securities accounts,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TextView android.view.View
9,Festgeld,Search and compare also new client offers Deposit insurance Duration orderinternetorderanzahlanlagebetragsparplaneinlagebetragdepotvolumenordervolumen_ Amount invested Fixed deposits,android.widget.LinearLayout com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.CheckBox android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TextView android.view.View
