id,label,text,view
0,MainActivity,null,android.widget.LinearLayout
1,DashBoard,null,android.widget.LinearLayout android.widget.ListView
2,Station_1,Next Station >> Reading (JOHN 19:12-16) Pilate sought to release him but the Jews cried out”if you release this man you are not Caesar’s friend.” When Pilate heard these words he brought Jesus out and said to the Jews “ Here is your King!” The cried out “away with him away with him crucify him!” Pilate said to them “Shall I crucify your king?” The Chief priests answered. “We have no king but Caesar!” Then he handed him over to them to be crucified. Christ Speaks. In Pilate’s hands my friend I see my father’s will. It is true that Pilate is unjust but he is a lawful governor and he has power over me; and so the Son of God obeys a son of man. If I will bow to Pilate’s rule because this is my Father’s will can you refuse obedience to those whom I have placed over you? Man Responds. Lord Jesus Obedience cost you your life. For me it costs an act of will -no more- and yet how hard it is for me to bend. Remove the blinders from my eyes that I may see that it is you whom I obey in all who govern me. Lord it is you. Our Father Hail Mary Glory be to Thee Have mercy on us O Lord. Have mercy on us. Hymn: Culus animam gementem Contristatam etdolentem Pertransivit glcidius. Through her heart His sorrow sharing All his bitter anguish bearing now at length the sword had passed. Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. First Station: Jesus is condemned to death,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
3,station_2,Next Station >> Reading (JOHN 19:17) So they took Jesus and he went out bearing his own cross to the place of a skull which is called in Hebrew Golgotha. Christ Speaks. This cross this chunk of tree is what my father chose for me. The crosses you must bear are largely products of your daily life Your weakness dissatisfaction insufficiency and yet my Father your Father chose them too for you. Receive them from his hands. Man Responds. Lord Jesus I take my daily cross. I welcome the monotony that often marks my day discomforts of all kinds my disappointments tensions setbacks cares worries all of them Remind me often that in carrying my cross I carry yours with you. Our Father Hail Mary Glory be to Thee Grant us your help O Lord!. Grant us your help!. Hymn: O quam trisits et afflicta Fuit lila benedicta Mater Unigeniti. Oh how sad and sore distressed was that mother highly blessed of the sole-begotten one! Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Second Station:Jesus carries His cross,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
4,Station_3,Next Station >> Third Station Reading (ISAIAH 50:5-7) The Lord God has opened my ear and I was not rebellious I turned not backward. I gave my back to the smiters and my Checks to those that pulled out the beard; I did not hide my face from shame and spitting. For the lord God helps me; therefore I have not been confounded. Christ Speaks. The God who made the universe and holds it in existence. The Lord who directs the movement of the cosmos This God is as man too weak to bear a piece of timber. That is the will of my father. I could not be your model otherwise. If you must be my follower You also must accept without complaint your human limitations. Man Responds. Lord Jesus how can I refuse? I willingly accept my weaknesses my irritations and my moods my headaches and fatigue my difficulties in work and home all my defects of body mind and soul. these ‘handicaps’ of my humanity are your will for me. I accept them gladly. After your fall you picked yourself up Now pick me up Lord. .. Our Father Hail Mary Glory be to Thee Grant us your help O Lord!. Grant us your help!. Hymn: Quce moerebat et dolebat Pia mater dum videbat Nati poenas inclyti. Christ above in torments hangs; She beneath beholds the pangs of her dying glorious Son Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Third Station: Jesus falls the first time.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
5,Station_4,Next Station >> Reading (LUKE 2:34-35) Behold This child is destined to cause the falling and rising of many in Israel and to be a sign that will be spoken against And a sword will pierce your own soul too. that thoughts out of may hearts may be revealed Christ Speaks. My mother sees me whipped. She sees me kicked and driven like a beast. She sees me disgraces. But she did not utter a word of protest or complaint She shares my martyrdom. Man Responds. Lord Jesus It is harder to watch the pains of those we love than to bear our pains. I know what you are telling me. To carry my cross after you I too must stand and watch the sufferings of my dear ones; I must watch the poverty of my people Their tattered clothes malnutrition no water no electricity And what is more less hope for the future. And I must let them watch mine too. I do believe for those who love you all things work together unto good. They must!.. Our Father Hail Mary Glory be to Thee Come to our aid O Lord!. Come to our aid. Hymn: Quis est homo qui non fleretMatrem Christi si videret In tanto supplicio?. Is there one who would not weep Whelmed in miseries so deep Christ’s dear Mother to behold? Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Fourth Station: Jesus meets his mother.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
6,Station_5,Next Station >> Fifth Station Reading (MARK 15:21) And they compelled a passer-by Simon of Cyrenian who was coming in from the country the father of Alexander and Rufus to carry his cross. Christ Speaks. I am physically weak. I can no longer bear the cross alone. So they compel Simon to help me. And indeed he helps me. Why not you too? Lift the burden from another’s back. Each time you do that you lift the cross’s awful weight that crushes me.. Man Responds. Lord make me realize that each I pick up an object off the floor assist my colleague in some small task each time I lend my hand in any way it matters not to whom my name is Simon. And the kindness I extend to them I really give to you Our Father Hail Mary Glory be to Thee Have mercy on us O Lord!. Have mercy on us. Hymn: Quis non posset contristari Christi Matrem contemplar; Dolentem cum Filio?. Can the human heart refrain from partaking in her pain in the Mother’s pain untold? Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Fifth Station: Simon helps Jesus carry his cross.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
7,Station_6,Next Station >> Reading (ISIAH 53:1-3) Who has believed what we have heard? An d to whom has the arm of the lord been revealed? For he grew up before him like a young plant and like a root out of dry ground; He had no form or comeliness that we should look at him and no beauty that we should desire him. He was despised and rejected by men; a man of sorrows and acquainted with grief and as one from whom me hide their faces he was despised and we esteemed him not Christ Speaks. Can you be brave enough to wipe my bloody face? Where is my face you may ask me? At home whenever eyes fill up with tears at work when tensions rise in the classroom on the playgrounds in the remote and dirty villages the courts the hospitals the jails wherever suffering exists My face is there and I look for you to wipe away my blood and tears... Man Responds. Lord this is hard. It needs courage and self-sacrifice It is an uncomfortable job but I will not run away from it. Come and act in me and not in me alone- in all people. So that we may reveal not your bloody but your glorious face on earth . Our Father Hail Mary Glory be to Thee Have mercy on us O Lord!. Have mercy on us. Hymn: Pro peccastis suae gentis Vidit Jesum in tormentis Et flagellis subditum. Bruised Derided cursed defiled she beheld her tender Child All with bloody scourges rent. Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Sixth Station: Veronica wipes the face of Jesus.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
8,Station_7,Next Station >> Reading (ISIAH 53:4-6) Surely he has borne our griefs and carried our sorrows; yet we esteemed him stricken smitten by God and afflicted. But he was wounded for our transgressions he was bruised for our iniquities; upon him was the chastisement that made us whole and with his stripes we are healed. All we like sheep have gone astray; we have turned everyone to his own way; and the Lord has laid on him the iniquity of us all. Christ Speaks. This seventh step my child is the one that tests your will. From this fall learn to persevere in doing good. Never say I cant go on. Come to me and I will give you rest. Trust me and carry on. Man Responds. Difficulties remain difficult Lord! When failure presses heavily on me and I am desolate discouraged stretch out your hand to lift me up. Alone there is nothing I can do. With you I can do anything you ask. I will.. Our Father Hail Mary Glory be to Thee Have mercy on us O Lord!. Have mercy on us. Hymn: Vidit suum dulcem Natum Moriendo desolatum Dum emisit spiritum. For the sins of his own nation saw him hang in desolation till his spirit forth he sent. Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Seventh Station: Jesus falls the second time.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
9,Station_8,Next Station >> Eight Station Reading (LUKE 23:27-31) And there followed him a great multitude of people and of women who bewailed and lamented him but Jesus turning to them said “Daughters of Jerusalem; do not weep for me but weep for yourselves and for your children. For behold the days and the wombs that never gave suck; then they will begin to say to the mountains Fall on us and to the hills cover us. For if they do this when the wood is green what will happen when it is dry?. Christ Speaks. How often had I longed to gather my children into one communion with me! But they refused. But now these women weep for me I mourn for them and their sorrows that will come.. My dear child You can really be more gentle. You too can be kind. Man Responds. Lord teach me help me learn. When I would snap at those who hurt me with their ridicule those who misunderstand me those whom I think hinder my progress with some misguided helpfulness those who intrude upon my privacy — those who restrict my freedom and liberty. Then help me curb my tongue May gentleness become my cloak. .. Our Father Hail Mary Glory be to Thee Have mercy on us O Lord!. Have mercy on us. Hymn: Eta Mater fons omoris Ne sentire vim doloris Fac ut tecum lugeam. O thou mother! Fount of love! Touch my spirit from above Make my heart with thine accord. Leader: We adore Thee O Christ and bless Thee. All: Because by Thy holy cross Thou hast redeemed the world. Eight Station: Jesus meets the women of jerusalem.,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
