id,label,text,view
0,LoginActivity,http://www.propertism.com/ Don't have an account? Sign Up Login Forgot Password? Enter your password Password Enter a valid email id Email Id,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.FrameLayout android.widget.ProgressBar android.widget.ImageView
1,ForgotPasswordActivity,Dont have an account? Sign Up Send my password Please Enter Your Email Id Email Id,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.FrameLayout android.widget.ProgressBar android.widget.ImageView
2,RegistrationActivity,Dont have an account?Sign UP Sign up Forgot Password Enter your password Password Enter a valid mobile number with country code Mobile Enter a vaild email id Email Id Enter your username Last Name Enter your full name First Name Signup,android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ProgressBar android.widget.ImageView
3,AboutActivity,Request a Quote About US,android.widget.LinearLayout com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.webkit.WebView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
4,EnquiryActivity,Submit Confirm Password Password Create an account? (optional) Any other specific details Message Popular Services Type of Services Best time to call SpEmail Email Enter your mobile number Mobile Country Enter your Name Name Request a Quote,android.widget.ScrollView com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
5,ContactActivity,Contact US,android.widget.LinearLayout com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
6,VIEW,null,null
7,UserEnquiryActivity,Date Type Of Property Submitted Enquiries,android.widget.ScrollView com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
8,SettingsActivity,Submit Forgot Password ******* SpMobile Mobile SpEmail Email Id Enter your fullname Last Name SpUsername First Name Signup Edit Profile Edit Profile,android.widget.ScrollView com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
9,ChangePassActivity,Submit Enter your new password to confirm Enter your new password Enter your old password Change Password,android.widget.ScrollView com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
10,ProplistActivity,Properties List,android.widget.ScrollView com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout android.view.ViewGroup android.view.View com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
