id,label,text,view
0,SplashScreen,null,android.widget.RelativeLayout
1,MainActivity,Copyright@2017.ICSI.All rights reserved SEBI Act & Regulations FEMA Act & Regulations New Syllabus (2017) Vision New ICSI 2022 ICSIPublications ICSI Model Governance Codes Secretarial Standards CharteredSecretary,android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProRegular android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
2,ChartedSecretary,No data Available Chartered Secretary,android.widget.RelativeLayout android.widget.ProgressBar com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ViewSwitcher android.widget.GridView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
3,BlankScreen,No data Available . Test . Test Chartered Secretary,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.GridView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
4,ChartedSecretarySearch,No data Available 01 Test Search Results,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.ui.views.widgets.MyridProRegular android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.RelativeLayout android.widget.EditText android.widget.ImageView
5,ChartedSecretaryWebView,Chartered Secretary,android.widget.RelativeLayout android.webkit.WebView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
6,DiaplayPdf,February 2018,android.widget.RelativeLayout com.github.barteksc.pdfviewer.PDFView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
7,PdfTOC,.0 Test .0 Test,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
8,SubContentActivity,No data Available . Test . Test Chartered Secretary,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.GridView android.widget.RelativeLayout com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView com.cs.touch.utility.CustomUtilis.CustomImageView android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
9,SearchSubContent,No data Available 01 Test Search Results,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold com.cs.touch.ui.views.widgets.MyridProRegular android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.RelativeLayout android.widget.EditText android.widget.ImageView
10,ArticlesToc,.0 Test .0 Test,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ListView android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProRegular com.cs.touch.ui.views.widgets.MyridProRegular android.widget.RelativeLayout android.widget.ImageView com.cs.touch.ui.views.widgets.MyridProSemiBold android.widget.ImageView
