id,label,text,view
0,MainActivity,Version 3.0 Loading,android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.TextView android.widget.TextView
1,Login_Page,Version 1.0 Username 0 Password Login Failed try again,android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.ImageView android.widget.Button android.widget.EditText android.widget.TextView
2,Main_Menu,0 0 0 0 Set History Hour Select Vehicle,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.Spinner android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.Spinner android.widget.TextView
3,Setting_Page,null,android.widget.TableLayout android.widget.TableRow android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView
4,Report_Page,Km Submit Start Date End Date Select Vehicle : Movement Report OverSpeed Report Distance Report Reports,android.widget.TableLayout android.widget.GridView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TableRow android.widget.TextView
5,Route_Replay,Speed:0 0 TODO,android.support.v4.widget.DrawerLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton
6,MapHome,Speed:0 LIVE,android.support.v4.widget.DrawerLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView
7,Deactivated_List,Expired Device List:,android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.TextView android.widget.TextView
8,Alert_Page,Movement Alert OverSpeed Alert Select Vehicle : Alerts,android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.RelativeLayout android.widget.ToggleButton android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.RelativeLayout android.widget.ToggleButton android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView
9,ChangePassword,Change Password Show Password Enter Confirm New Password. Enter New Password. Enter Current Password.,android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText
10,Lock_Engine,OFF ON Engine Status Select Vehicle : Lock Engine,android.widget.RelativeLayout android.widget.TableLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView
11,ChangeSmsNo,Change SmsNo Enter Confirm New SmsNo. Enter New SmsNo. Enter Current SmsNo.,android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText
