id,label,text,view
0,TermsConditionsActivity,��The CycleBeads app will help you track your cycle. You can use it to prevent pregnancy or plan pregnancy. It’s based on a scientifically proven family planning method that is +95% effective. Let’s get st,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView com.cyclebeads.shared.AspectFitImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,PasscodeActivity,Enter Enter a passcode:,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView
2,QuestionMode,Hello! Please complete your settings. How are you using CycleBeads?,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView
3,CycleBeadsActivity,CONTINUE Go Back Submit Phone: Name: Your participation will help improve CycleBeads and improve the experience for women. Your submission was successful! We look forward to your feedback. An error occurred submitting your request. Please try again. No. I just want to use the CycleBeads app. o Actually I'm already participating. o Maybe. Ask me later. o Yes! Tell me more please. o Are you in India and willing to participate in a research study to help improve CycleBeads? Hello! Got a minute? GOT IT!We won't ask you again. X Today's Date: %s Cycle Start Date: %s,android.widget.RelativeLayout com.sothree.slidinguppanel.SlidingUpPanelLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView com.cyclebeads.shared.AspectFitImageButton android.widget.TextView com.cyclebeads.shared.AspectFitImageButton android.widget.TextView com.cyclebeads.shared.AspectFitImageButton android.widget.TextView com.cyclebeads.shared.AspectFitImageButton android.widget.TextView com.cyclebeads.shared.AspectFitImageButton android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.cyclebeads.cycle.NecklaceView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
4,QuestionRegularActivity,Do you get yourperiods monthly?(every 26 to 32 days?),android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,EnterHistoryActivity,No cycles have been entered. Please add one. SETTINGS CYCLEBEADS BACKUP To modify or delete a date press and hold the row until the menu appears. Cycle History Done,android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button
6,NewNoteDateActivity,New Note Note Date: Cancel,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.DatePicker android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Button
7,survey1question2,CONTINUE Other (please explain) For my partner For myself Are you using CycleBeads for yourself or are you helping your partner use this method? Thanks! We'd love to get to know you with a few initial questions…,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView
8,AddHistoryDateActivity,Save Edit Cycle Start Date: Cancel,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.DatePicker android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Button
9,survey2question1,CONTINUE Definitely no Probably no Probably yes Definitely yes Hi there! Would you recommend the CycleBeads app to a friend? X,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button
