id,label,text,view
0,SplashScreen,DSP Fast Recharge Welcome To,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
1,MobileRechargeActivity,NEXT GTalk GPRS SMS Select Mode,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
2,HomeScreenActivity,Balance Unknown Unknown tryyt,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
3,LoginActivity,Application Version :- 15.5 8140199963 8141199963 Sales Number 9081199963 7698199963 Customer Care Number Forgot PIN ? LOGIN Remember Me PIN Mobile No Login,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.CheckBox android.widget.TableRow android.widget.EditText android.widget.ImageView android.widget.TableRow android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
4,Aboutus,dspfastrecharge@gmail.com Email 8141199963 Whatsapp Helpline No 9081199963 7698199963 Customer Care Number 8140199963 8141199963 Sales Number www.sell.dspfastrecharge.com Website Narayan Nagar Opp-College Dakor Road KAPADWANJ - 387620 Dist-Kheda (Gujarat) Office Address DHAVAL PANDYA (DSP),android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
5,SettingsActivity,null,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
6,CreditReportsActivity,Invoice Remark PayTrfrId Amount CurrentAmt PaymentType UserName CreditType DateTime Credit Report,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView
7,StatementReportActivity,Recharge PayTrfId RechargeId MobileNo UserName Payment TypeId User Amount Amount Payment Type Remark Created Date Submit Statement Report,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView
8,FragmentShare,Share this on your google plus wall (Login needed). Share Mobile App link on your Twitter wall (Login needed). Share MobileApp link on your Facebook wall (Login needed). Provide the Mobile App link to your friends via Email (Select max 20 persons in one go). WhatsApp is free for SMS/MMS. Install from google play Click on this icon to share this App to your multiple friends (Normal SMS charges applicable). Select max 20 persons in one go. ��Click the below icon to share this App with your friends and family. (features available sometimes differ from mobile to mobil,android.widget.TableLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.ImageView android.widget.TableRow android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Button
9,RechargeReportActivity,Status Circle Source Client Txid Transaction Id Id Request Date Recharge Type Incentive PSurcharge Surcharge Commission Closing Bal Amount Opening Bal Mobile No Service Name Submit Recharge Report,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView
