id,label,text,view
0,MainActivity,HOW TO USE FAVORITE All CHANNELS,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.ImageButton
1,SecondActivity,NEWS MUSIC MOVIES RELIGIONS ENTERTAINMENT,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton
2,Howtouse,Our Application Provide All The Necessery Information So That You Can Set Up Your Satellite Receiver,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
3,ThirdActivity,Colors Sony Mak ATV News Bangla Time TV India Today DD Punjabi Life OK ABP News Z Bangla Colors Bangla Star Plus NEO Sports 24 News Ten Cricket Star Sports 2 Star Sports 1 Ten Sports Star Jalsha DD Bharati DD News,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.ImageButton
4,Tv_3,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
5,Tv_7,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
6,Tv_1,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
7,Tv_6,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
8,Tv_4,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
9,Tv_2,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
10,Tv_9,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
11,Tv_5,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
12,Tv_11,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
13,Tv_8,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
14,Tv_10,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
15,Tv_12,Position: 108.PÂ°E Satellite: EF 619 Beam EIRP: North Asia 42 Frequency: 1434 D System: DVB-S28PKLMPEK-51 SR FECO: 3601 3/7 Encryption: Guard Packages: Bangla Telicomunication Lang: Hindi,android.widget.RelativeLayout android.view.View android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
