id,label,text,view
0,A_00_MainActivity,GET FULL EDITION ABOUT APPLICATION,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button
1,A_00_Transformers_main_list,Common Calculations hello,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
2,A_01_AboutActivity,�� - Paging system technology. - Amplifiers input/outputs. -Designing 70V system. -What is a self-amplified system. - Speakers layout. - Speakers wiring and phasing. - Wire types. * Sound systems : �� - Surveillance. - Purpose-considerationssecuring. - CCTV strengthslimitations ans operation. - system diagram. - DVR. - MonitoringResolution and chips types. - CCTV lenses. - LUX. - Attachments. - CCTV lenses calculators. * CCTV Systems : �� - Introduction. - Construction. - Cooling types. - Liquid vs dry transformers - Technical specifications. - Transformers calculation * Transformers Calculations : �t - AWG/mm2 conversions. - Voltage drop calculator. - cable size calculator. - Temperature correction factor. * Cables Calculations : � - Sports * Lighting Calculations : �Q - Average power demand of buildings. - power consumption table. - power fa * Power Calculations : - Weightlengthpowervoltage - electrical chargenumbers - frequency and others conversions. * General : ** Full edition features: ** Click here to get full edition Mobile(Whatsapp) : 002-01206855670 Conatct-us via e-mail : Electro.Mission776@gmail.com Developers address : Alexandria city Egypt Senior electrical enigneer Engineer : Ibrahim M Elbadawy Developed by : Electro-Mission Last update : Jan 2019 Version : 21.0.0 Jan2019 Electrical calculations limited edition Electrical calculations edition Electrical distribution applications Electro-Mission,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,Trans_00_Introduction,��Transformers that are designed for installing at outdoor are outdoor transformers and transformers designed for installing at indoor are indoor transformer 4. Outdoor Transformer and Indoor Transformer. ��Former is generally used where ratio between high voltage and low voltage is greater than 2. It is cost effective to use later where the ratio between high voltage and low voltage is less than 4. Two Winding Transformer and Auto Transformer . ��Transformer is generally used in transmission network which is normally known as power transformer distribution transformer is use 3.Electrical Power Transformer Distribution Transformer and Instrument Transformer. �Former is gen 2.Three Phase Transformer and Single Phase Transformer. Generally used for stepping up and down the voltage level of power in transmission and distribution power network. 1. Step Up Transformer and Step Down Transformer. ��Transformers can be categorized in different ways depending upon their purpose use construction etc. The types of transformer are as follow Types of Transformer �HTwo winding transformers are generally used where ratio between high v �� Generation of electrical power in low voltage level is very much cost effective. Hence electrical power is generated in low voltage level. Theoretically this low voltage level power can be transmitted to t Usage �;The history of transformer was commenced in the year 1880 History ��A transformer is a static machine used for transforming power from one circuit to another without changing frequency. This is a very basic definition of transforme Definition,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
4,Trans_01_construction,�s In all types of transformers core is constructed by assembling (stacking) laminated sheets of steel with mini ��Basically a transformer consists of two inductive windings and a laminated steel core. The coils are insulated from each other as well as from the steel core. A transformer may also consist of Basic Construction Of Transformer �Th ��The basic principle behind working of a transformer is the phenomenon of mutual induction between two windings linked by common magnetic flux. The figure at right shows the simplest form of a transformer. Basically a transformer consists of two in Working principle Of transformer,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
5,Trans_02_cooling_type,�ODAF or oil di ODWF Cooling of Transformer �%ODAF or oil directed air forced coo ODAF Cooling of Transformer ��We know that ambient temperature of water is much less than the atmospheric air in same weather condition. So water may be used as better heat exchanger media than air. In OFWF OFWF Cooling of Transformer � The heat dissipation rate ca ��In oil forced air natural cooling system of transformer the heat dissipation is accelerated by using forced air on the dissipating surface but circulation of the hot oil in transformer tank is natural convectional flo OFAF Cooling of Transformer �PHeat dissipation can obviously be increased if dissipating surface is increas ONAF Cooling of Transformer ��This is the simplest transformer cooling system. The full form of ONAN is Oil Natural Air Natural. Here natural convectional flow of hot oil is utilized for cooling. In convectional circulation of oil the hot oil flows to the upper portion of the tra ONAN Cooling of Transformer �=The main source of heat generation in transformer is its co Click image to fullscreen Transformer Cooling Methods,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView
6,Trans_03_liquid_vs_dry,�u Transformers generally require minimal maintenance. Dry-type transformers require an annual inspection and cleani 8- Maintenance Considerations �@ As there are no radiator banks used in dry-type transformers 7- Installation Costs �� Two critical considerations are transformer losses and size. Even though dry-type core and coils are larger than the equivalent l 6- Performance Comparison �� When searching for a transformer one constructed with quality components is critical. Choose a supplier with an established reputation who incorporates only the best insulation channels winding combs spacer sticks and standoff insulator 5- Transformer Construction �� The most common insulation sheets used in liquid cooled transformers is cellulose-based paper. Both mineral oil and silicone have good dielectric characteristics which makes them suitable for ve 4- Insulation �� Since the early 1970s PCBs have been linked with many health risks and their use is banned in almost all environmentally aware countries.When selecting a tran 2- Health Safety and Environmental Concerns �p For cost reasons transformers are located in habitable areas such as buildings where fire risk has to be mi 1- Fire Risks Considerations for Selecting a Transformer ��8- large reliability index and nowadays used in the form of complete substations inside a metallic enclosure having cable-connecting box in both the H.V and L.V side 7- High efficiency with good voltage regulation and noiseless. 6- completely secure from the view of fire environment pollution. 5- light so can be easily installed on the roof of the building . 4- Needs no accessories such as valves breathers and measuring devices of fluid immersed transformers. 3- Needs less maintenance and cyclic testing other than fluid immersed transformers. 2- Can be easily installed in buildings with complete security. 1- Cheapest fire proof transformers Advantages of dry type over liquid type ��air is used as the cooling and dielectric medium. Most are manufactured with vacuum pressure impregnation in polyester or silicone varnish. For tougher environmental conditions VPI epoxy sealed and cast resin transformers have also been develope 3- dry-type transformers �� core and coils are immersed in a low boiling point fluid that evaporates taking transformer heat away as its latent heat and then returns in liquid form through condensation in the radiator tube 2- liquid vapor condensation transformers the cooling and dielectric media is a fluid which remains in a liquid state during the operation of the transformer. 1- liquid filled transformers Types of Transformers � Dry vs. liquid transformers,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
7,Trans_04_TechnicalSpecifications_Activity,11- Features hello 10-Standards / Compliance hello 9- Secondary Specifications hello 8-Max. Primary Voltage Rating hello 7-Three Phase Config. hello 6-Single Phase Primary Config. hello 5-Primary Frequency hello 4-Construction hello 3-Mounting / Form Factor hello 2-Cooling Method hello 1-Transformer Type/Application hello,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
8,Trans_05_calculations,Secondary Current Calculations hello Primary Current Calculations hello Secondary Voltage Calculations hello Primary Voltage Calculations hello Secondary turns Calculations hello Primary Turns Calculations hello Turns Ratio Calculations hello,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
9,Trans_06_WebPage,null,android.widget.RelativeLayout android.webkit.WebView android.widget.ZoomControls
