id,label,text,view
0,Splash1,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
1,Slash1,Cancel Exit Are you sure want to exit application ? Birthday Video Maker Birthday Video Maker Please check your data connection and try again. Birthday Video Maker More apps from Developer Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.photo.effects.activity.ScrollableGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout com.photo.effects.activity.ScrollableGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
2,Album,Album not Created yet My Creation,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.love.magic.view.EmptyRecyclerView android.widget.LinearLayout android.widget.TextView
3,Theme1,Birthday Video Maker Birthday Video Maker Library Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout com.photo.effects.activity.ScrollableGridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView androidx.appcompat.widget.Toolbar
4,ActSelectImage,please select images. (1) clear,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.photo.effects.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.photo.effects.view.DataObserver1 android.widget.RelativeLayout android.widget.TextView com.photo.effects.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View androidx.recyclerview.widget.RecyclerView android.view.View android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.view.View androidx.appcompat.widget.Toolbar
5,ActPreviewPhoto,Frame animation time Birthday Video Maker 00:00 00:00 Please wait... Birthday Video Maker,androidx.coordinatorlayout.widget.CoordinatorLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView androidx.drawerlayout.widget.DrawerLayout android.widget.RelativeLayout androidx.appcompat.widget.Toolbar android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.photo.effects.view.VideoPreviews com.photo.effects.view.VideoPreviews
6,Select_Background,Space for ads Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Select Frame,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.view.View android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView
7,Theme2,Birthday Video Maker Birthday Video Maker Birthday Video Maker,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
8,Preview,Birthday Video Maker Birthday Video Maker Birthday Video Maker Preview Create Video,android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView
9,Share1,Birthday Video Maker Birthday Video Maker Birthday Video Maker Birthday Video Maker Share Video Birthday Video Maker,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
