id,label,text,view
0,Palm_permission_activity,��Before using the FaceReadingPalmistry and Horoscopes user must be agreed to allow this application to access your System Storage and Came Permissions Granted,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.fortunescan.discover.future.palmreading.MainCardView com.fortunescan.discover.future.palmreading.MainCardView android.widget.TextView android.widget.ImageView android.widget.TextView
1,Welcome_Horo_Palm_Activity,find about your self Face Reader And Horoscopes Welcome to,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
2,WelcomeActivity,SKIP NEXT,android.widget.RelativeLayout android.widget.Button android.widget.Button android.view.View android.widget.LinearLayout android.widget.TextView androidx.viewpager.widget.ViewPager
3,Custom_Camera_Palm_Activity,Placed your palm must be in frame Take a photo of your palm Palm Reading,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.view.SurfaceView android.view.SurfaceView android.widget.TextView
4,Palm_Fragment_Activity,Discover the unknown aspects of your's life by palmistry Palmistry,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom5 android.view.View com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom5 android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
5,Activity_Loading,Ongoing palm analysis,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
6,Face_Activity_Result,FaceReading Information,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.GridLayout android.widget.ImageView android.widget.TextView
7,FaceReader_Activity,Discover the unknown aspects of your's life by face reading FaceReading,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom5 android.view.View com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom5 android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
8,Palm_ErrorActivity,Ok It was not possible to recognize your palm or some fundamental characteristics of it. Try a new photo.,android.widget.RelativeLayout android.widget.Button android.widget.TextView
9,Horo_Fragment_Activity,Horoscope,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 android.widget.LinearLayout com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 com.fortunescan.discover.future.palmreading.horscope.horoscope.customview.Show_Activity_Custom4 android.widget.TextView
