id,label,text,view
0,MainActivity,OY VER BİLGİ ÇERÇEVE SEÇİN,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.Button
1,about,Uygulamadan öncelikle istediğiniz bir şablon seçip + simgelerinin üzerine tıklayarak kolaj yapmak istediğiniz resimlerinizi seçin.Kolajlarınız üzerine çerçeve ve zemin renkleri yada sticker ve yazı ekleyebilirsiniz.Ardından resimlerinizi direkt olarak kaydedebilirsiniz.Resimleriniz telefonunuzdaki (fotokolas) klasörüne kayıt edilir.İsterseniz de direk olarak paylaşabilirsiniz. FOTOĞRAF KOLAJI VE ÇERÇEVELERİ,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.TextView
2,cercevepage,ÖZEL KOLAJLAR - 1 KARE KOLAJLAR - 3 KARE KOLAJLAR - 2 KARE KOLAJLAR - 1,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.Button android.widget.Button
3,squarekolaspagecercevelist4,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
4,squarekolaspagecercevelist3,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
5,squarekolaspagecercevelist,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
6,squarekolaspagecercevelist2,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
7,k1model,YAZI EKLE STİCKER EKLE ÇERÇEVE RENGİ Zemin Rengi DIŞ ÇERÇEVE,android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
8,k2model,YAZI EKLE STİCKER EKLE ÇERÇEVE RENGİ Zemin Rengi DIŞ ÇERÇEVE,android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
9,k3model,YAZI EKLE STİCKER EKLE ÇERÇEVE RENGİ Zemin Rengi DIŞ ÇERÇEVE,android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
