id,label,text,view
0,MainActivityz,LIT FORUM ACTS & LAWS DISSERTATION WRITING STUDENT PLANNER INTERNSHIP INFORMATION PRACTICE QUESTIONS,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,Myprofile,EDIT/DELETE USER ALL REGISTERED USERS ADMIN FUNCTIONS save Address Mobile Number Edit MY POSTS Change Photo,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.Button android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.LinearLayout de.hdodenhof.circleimageview.CircleImageView
2,Login,©Gbolissimo Technologies Reset Password SIGNUP No Account? Sign-in password email,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.ImageView
3,AboutusActivity,LegaLIT Version 1.0 This application is created by ImperiumIX Nigeria a partnership made up of 9 of the finest young legal minds (who at the time of creating this app are from the ultimate class of the Faculty of Law University of Ibadan) in conjunction with Gbolissimo Technologies a fast-rising Software Development company. ImperiumIX Nigeria was formed out of the need to improve the research culture of students both in Nigeria and abroad. It had been observed that the fast-pacedness of our modern society coupled with the information deluge and its attendant distractions have served to wane the importance of scholarship; a deep quest for the right kind of knowledge in order to enhance the all-round development of the student. This is why ImperiumIX Nigeria set on its course to correct the woes and expand the horizon of legal scholarship among young people. Its first step was to release an e-book titled Black and White: A Compendium of Legal Thoughts in June 2018. This project is a compilation of legal papers from university students in Nigeria Africa and the wider world bordering on unconventional issues which have not seen the light of modern jurisprudence. The project attracted a plethora of accolades and endorsements from distinguished individuals far and wide each of whom have made a mark in legal scholarship. It was also well-received by law students and is set to be published and launched officially in the near future. The initial mandate has been kept alive by ImperiumIX Nigeria; this time teaming up with Gbolissimo Technologies for the creation of the app – LegaLIT. The app is considered as one of our power sources – a student companion to the law student. It is basically a legal kit – a starter pack providing the most essential needs for the survival learning and advancement of the law student all in one place. Its features are all-encompassing its selling point is its convenience and its main objective is to through its resources provide the much required assistance to enable the student attain the highest level of scholarship. So much is the utility of this app that work is currently ongoing for its duplication in various other disciplines to be launched at later dates in the nearest future. Users are thus encouraged to harness its powers by connecting to the power source that is LegalIT. ImperiumIX Nigeria is made up of the following individuals: Alufa Temijuopelo; Oyebanjo Olamide; Banigo Charles; Olalere Yusuf; Udeh Kosisochukwu; Oladokun Abiodun; Onwuegbuchunam Franklin; Ayobami Kolawole; Okoro Franklin.,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView
4,SettingsActivity,CONTACTS On FORUM NOTIFICATIONS Contact,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.TextView android.support.v7.widget.CardView android.widget.Switch android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView
5,LegalitDissertation,IMPERIUM PROJECT DATABASE I CONTENT C INTRODUCTORY TIPS T REFERENCING R,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView
6,PlannerActivity,SUNDAY SATURDAY FRIDAY THURSDAY WEDNESDAY TUESDAY MONDAY,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView
7,DloadActivity,Empty!,android.widget.RelativeLayout android.support.design.widget.FloatingActionButton android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.ProgressBar android.support.v7.widget.SearchView
8,LegalitPractice,LAW OF TORTS T ENVIRONMENTAL LAW E CONFLICT OF LAWS C IRAC MODEL I JURISPRUDENCE J COMPANY LAW C EQUITY AND TRUSTS E LAND LAW L LAW OF EVIDENCE E CRIMINAL LAW C LAW OF TORTS T FAMILY LAW F COMMERCIAL TRANSACTIONS C NIGERIAN LEGAL SYSTEM N CONSTITUTIONAL LAW C LAW OF CONTRACT C ADMINISTRATIVE LAW A LEGAL METHODS L,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView
9,FeedActivity,null,android.widget.RelativeLayout android.support.design.widget.FloatingActionButton android.support.v7.widget.RecyclerView android.widget.ProgressBar de.hdodenhof.circleimageview.CircleImageView
