id,label,text,view
0,MainActivity,,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.gbrolex.datecalculator.ClockView_main android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,CalcolatriceActivity,Error + +,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.HorizontalScrollView android.widget.TextView android.widget.TextView android.widget.HorizontalScrollView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
2,Calc_tempoActivity,Secs Mins Hrs 0 Hours M H 0 x 0 : 0 + 0 0 0,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
3,Diff_dateActivity,C Seconds Minutes Hours Days Weeks Months Years Time Date 0 Hours Hours Years.,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.TableRow android.widget.Button android.widget.Button android.widget.TableRow android.widget.Button android.widget.Button android.widget.TableRow android.widget.Button android.widget.Button android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
4,AggiungiActivity,null,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
5,ConvertitoreActivity,0 0,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.Spinner android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
6,Tempo_mondoActivity,GMT Time zone + - ()%02d:%02d,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout com.gbrolex.datecalculator.ClockView2 com.gbrolex.datecalculator.ClockView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
7,ImpostazActivity,Always on Vibration Date & time picker(Spinner) System Digital Font type Dark theme Display,android.support.design.widget.CoordinatorLayout android.support.v4.widget.NestedScrollView android.widget.LinearLayout android.view.View android.widget.Switch android.view.View android.widget.Switch android.view.View android.widget.Switch android.widget.TextView android.widget.Switch android.widget.TextView android.widget.Switch android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
8,Crono_calcolatriceActivity,No history,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
9,Crono_calc_tempoActivity,No history,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
