id,label,text,view
0,Splash,Loading...,android.widget.RelativeLayout android.widget.TextView
1,Books,Sign Out Soma Kwa ufupi Mwandishi soma Search Search,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ProgressBar
2,AccountLogin,Reset Password Not Now Create Account Login password mobile no,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar
3,Test,Loading...,android.widget.RelativeLayout android.widget.TextView
4,Signup,Signup password Password Email mobile name Full Name,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.ProgressBar
5,ResetPass,Password yako imetumwa kwenye Email yako. Asante sana Reset Password enter your mobile no Ingiza namba yako ya simu kisha gonga RESET PASSWORD. Password mpya itatumwa kwenye EMAIL uliyosajilia.,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView
6,ReadBook,Nenda Mbele Rudi Nyuma Nenda Ruka kurasa: -,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.view.View android.view.View android.widget.TextView android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.TextView android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.ProgressBar android.widget.RelativeLayout android.widget.Button android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TextView
7,Billing,Tuma Muamala weka namba ya muamala au muamala wote hapa kisha tuma kwa kutumia kitufe hapo chini .Ili kuendelea kusoma simulizi hii lipia kiasi chochote siku yoyote kwa namba inayoonyeshwa hapa kisha weka namba ya muamala au ujumbe wa muamala mzima kwenye ki box hapo chini na utume ujumbe huo kisha subiri dakika chache kabla ya kuendelea kusoma.Kurasa za kitabu zitafunguka kwa kadiri ya pesa uliyolipia lakini gharama haiwezi kuzidi Tsh kwa kitabu kizima.Asante.,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ProgressBar
8,ShowTag,Kwa mawasiliano Kuhusu Mwandishi,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView
9,Authors,Sign Out Soma Kwa ufupi Mwandishi soma Search Search,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ProgressBar
