id,label,text,view
0,MainActivity,null,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.FrameLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,LoginActivity,policy and terms of use By clicking SIGN UP you agree to our Sign Up Don't have account? Forgot password ? Log In Show Password Enter password Enter E-mail Log In,android.support.v7.widget.CardView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.CheckBox android.widget.EditText android.widget.EditText android.widget.TextView
2,AboutUs,Log Out About Us,android.support.v7.widget.CardView android.widget.LinearLayout android.webkit.WebView android.widget.RelativeLayout android.widget.Button android.widget.TextView
3,TermsAndPolicies,Log Out Terms and Policies,android.support.v7.widget.CardView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.webkit.WebView android.widget.RelativeLayout android.widget.Button android.widget.TextView
4,UserSignUp,policy and terms of use By clicking LOG IN you agree to our Log In Already have an account? Sign Up Confirm Password Show Password Password Email Last Name First Name Sign Up,android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.support.v7.widget.AppCompatSpinner android.widget.EditText android.widget.CheckBox android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView
5,WantReformFAQ,Does wantreform.org create a Petition/Movement? How can i remove a petition? Is wantreform.org is owned by Political party Group of Individuals or non-profit organization? You can send your question by filling the following form or by sending email to info@wantreform.org I have a question. how to get answer to my Question? Can i use my financial support for Tax benefits? How can i support? What is a Movement? What is a Petition? How to bring reform? Why wantreform.org? What is wantreform.org? Log Out Frequently Asked Questions,android.support.v7.widget.CardView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.webkit.WebView android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.TextView
6,ContactUs,Send Message Message Subject Your email id Your name If you could not find the answer to your question then contact us by providing the following information: Log Out Contact Us,android.support.v7.widget.CardView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.support.v7.widget.AppCompatSpinner android.widget.EditText android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
7,SearchPetition,No results found Reset Search Search petitions... Log Out Search,android.support.v7.widget.CardView android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.support.v7.widget.SearchView android.widget.RelativeLayout android.widget.Button android.widget.TextView
8,SignPetition,Submit I support this movement (optional)... Pin code / Zip Code Confirm Password Show Password Password Email Last Name First Name Sign this movement Text Here Supporters,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.support.v7.widget.AppCompatSpinner android.widget.EditText android.widget.CheckBox android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView
9,SignPetitionAlreadySigned,Trending Petitions SHARE IT If you would just take a moment to share the link you can help this cause succeed. Together we can make a difference. You are already signed this movement. Thank You.,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.view.View
10,SignPetitionSuccess,Trending Petitions SHARE IT If you would just take a moment to share the link you can help this cause succeed. Together we can make a difference. Thanks for signing this movement.,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.view.View
11,SignPetitionEmailExists,Trending Petitions here. Log In Please. EmailId is already registered.,android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.view.View
12,Trending_Petitions_Recycle,Trending Petitions Guest User Logged in as : Logged in as : Exit Exit Log Out Log In Sign Up Sign Up Search Search,android.widget.LinearLayout android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView android.widget.ProgressBar android.widget.TextView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton
13,SearchPetitionPostLogin,No results found Reset Search Search petitions... Log Out Victory declared Search,android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.support.v7.widget.SearchView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
14,ContactUs_Success,Trending Petitions Thank you your message has been sent to Wantreform.org team they will contact you very soon. Log Out Contact Us,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
15,SearchActivity,Search Search,android.widget.LinearLayout android.widget.Button android.support.v7.widget.SearchView android.widget.TextView
16,SearchResultRecycle,Trending Petitions - Search Result,android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView
17,ForgotPassword,Submit Please enter E-mail address Forgot Password,android.support.v7.widget.CardView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView
18,PetitionDetailsPostLogin,Motive for signing Petitions related to this movement Petition Updates Movement Log Out Victory declared Search,android.widget.LinearLayout android.support.v4.widget.NestedScrollView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
19,SignPetitionPostLogin,Submit I support this movement (optional)... Pin code / Zip Code Sign this movement Text Here Supporters Log Out Victory declared Search,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView
20,SignPetitionAlreadySignedPostLogin,Trending Petitions SHARE IT If you would just take a moment to share the link you can help this cause succeed. Together we can make a difference. You are already signed this movement. Thank You. Log Out Victory declared Search,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
21,SignPetitionSuccessPostLogin,Trending Petitions SHARE IT If you would just take a moment to share the link you can help this cause succeed. Together we can make a difference. Thanks for signing this movement. Log Out Victory declared Search,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
22,HeaderPostLogin,Log Out Victory declared Search,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
23,YoutubeVideoActivityPostLogin,Motive for signing Petitions related to this movement Petition Updates Movement Log Out Victory declared Search,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.support.v4.widget.NestedScrollView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
24,ForgotPasswordSuccess,Log In Trending Petitions Please check your email. Your Password has been sent to your registered email. Forgot Password,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView
