id,label,text,view
0,SplashActivity,Kartak,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView
1,MainActivity,Powered By GWA Saved in the #'s Pocket message icon #,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.VideoView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
2,LoginActivity,Forgot Password Active Login Password Password Kartak User Name User Name Kartak Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
3,VerifyActivity,Login Verify Receipt Number Receipt Number Kartak Activation Code Activation Code Kartak User Name User Name Kartak Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
4,ForgerPasswordActivity,Send Massag to Customer Service Can Not Remmber My data ? Send Receipt Number # # # Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
5,ReceiptActivity,Skip Send Receipt Number Receipt Number Kartak Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
6,RecoveryPasswordActivity,Save Confirm Password Confirm Password Kartak Password Password Kartak Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
7,SearchResultActivity,message icon search Kartak Search returned no matches.,android.widget.RelativeLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.EditText android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar
8,ConnectionErrorActivity,Kartak Sorry .. There was a connection error Kartak,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
9,SubscribeActivity,Send Mobile Job Region City Name Kartak,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar
