id,label,text,view
0,List,Best Of Abubakar Sani 014 Best Of Abubakar Sani 013 Best Of Abubakar Sani 012 Best Of Abubakar Sani 011 Best Of Abubakar Sani 010 Best Of Abubakar Sani 009 Best Of Abubakar Sani 008 Best Of Abubakar Sani 007 Best Of Abubakar Sani 006 Best Of Abubakar Sani 005 Best Of Abubakar Sani 004 Best Of Abubakar Sani 003 Best Of Abubakar Sani 002 Best Of Abubakar Sani 001 BEST OF ABUBAKAR SANI,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView
1,MainActivity,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
2,VideoActivity,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
3,VideoActivity2,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
4,VideoActivity3,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
5,VideoActivity5,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
6,VideoActivity6,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
7,VideoActivity7,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
8,VideoActivity8,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
9,VideoActivity9,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
10,VideoActivity10,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
11,VideoActivity11,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
12,VideoActivity12,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
13,VideoActivity13,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
14,VideoActivity14,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
15,VideoActivity4,Best Of Abubakar Sani Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
