id,label,text,view
0,List,Best Of Rigar Aro Track 012 Best Of Rigar Aro Track 011 Best Of Rigar Aro Track 010 Best Of Rigar Aro Track 009 Best Of Rigar Aro Track 008 Best Of Rigar Aro Track 007 Best Of Rigar Aro Track 006 Best Of Rigar Aro Track 005 Best Of Rigar Aro Track 004 Best Of Rigar Aro Track 003 Best Of Rigar Aro Track 002 Best Of Rigar Aro Track 001 BEST OF RIGAR ARO 2018,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView
1,MainActivity,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
2,VideoActivity,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
3,VideoActivity2,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
4,VideoActivity3,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
5,VideoActivity5,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
6,VideoActivity6,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
7,VideoActivity7,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
8,VideoActivity8,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
9,VideoActivity9,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
10,VideoActivity10,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
11,VideoActivity11,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
12,VideoActivity12,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
13,VideoActivity4,Best Of Rigar Aro 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
