id,label,text,view
0,List,Best Of Mai Laya Track 014 Best Of Mai Laya Track 013 Best Of Mai Laya Track 012 Best Of Mai Laya Track 011 Best Of Mai Laya Track 010 Best Of Mai Laya Track 009 Best Of Mai Laya Track 008 Best Of Mai Laya Track 007 Best Of Mai Laya Track 006 Best Of Mai Laya Track 005 Best Of Mai Laya Track 004 Best Of Mai Laya Track 003 Best Of Mai Laya Track 002 Best Of Mai Laya Track 001 BEST OF MAI LAYA 2018,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView
1,MainActivity,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
2,VideoActivity,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
3,VideoActivity2,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
4,VideoActivity3,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
5,VideoActivity5,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
6,VideoActivity6,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
7,VideoActivity7,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
8,VideoActivity8,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
9,VideoActivity9,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
10,VideoActivity10,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
11,VideoActivity11,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
12,VideoActivity12,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
13,VideoActivity13,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
14,VideoActivity14,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
15,VideoActivity4,Best Of Mai Laya 2018 Stop Pause Play,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.SeekBar
