id,label,text,view
0,ViewControllerActivity,Privacy Policy Terms Condition Legal Forgot Password Create Account OR Login EqualSpeechPassword EqualSpeechUsername OR Sign in with Google Log in Equal Speech Log in,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button com.google.android.gms.common.SignInButton com.facebook.login.widget.LoginButton
1,TopicListViewControllerActivity,LEGAL Add Partner Logout Viewing History Network Subscribe Moderate Network Share Feedback Log In nilechoservice@i-mmerce.com Stuart Sontage More Category Name More Category Name General Discussions:,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.Button android.widget.Button android.widget.ImageView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button
2,ChangePasswordViewControllerActivity,Save Password Password Change Password,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.TextView
3,CreateAccountViewControllerActivity,Create Account Password Email Firstname Lastname Firstname Registration,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.TextView
4,ForgotPasswordViewControllerActivity,Send Email Forgot Password,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.TextView
5,FacebookActivity,null,android.widget.FrameLayout
6,CreateTopicViewControllerActivity,Add Topic Upload Background Img Opinion Piece No Unsure Yes Debate Topic Type Select Category Title... Create Topic,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.ImageView android.widget.Button android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.Button
7,ThesisViewHistoryViewControllerActivity,Title: Author: Create Time: Thesis View History,android.widget.RelativeLayout android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
8,NetworkSubscriptionsViewControllerActivity,Search to Join Browse to Join Network Name: New Invites Subscribe,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.ImageView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
9,ProfileViewControllerActivity,Save Upload Profile Image Please input address Password Edit Profile,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.Button android.widget.TextView
10,PartnerAddViewControllerActivity,Assigned Email Network Limit Account Number BSB Phone Number Address Legal Name ABN Assigned Email Network Limit Account Number BSB Phone Number Address Legal Name ABN Save Add Partner,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
11,NetworkListViewControllerActivity,Audit Waiting Invite Network Name: Network List,android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
12,FeedbackViewControllerActivity,Submit Content ... Feedback,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.Button
13,ShowCurrentThesisDetailViewControllerActivity,.] [ External References Thesis References More Content Title,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
14,TopicIndexPageViewControllerActivity,Go To Discussion Topic Info,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView com.github.mikephil.charting.charts.BarChart com.github.mikephil.charting.charts.BarChart com.github.mikephil.charting.charts.BarChart com.github.mikephil.charting.charts.BarChart android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
15,StreamAgreeViewControllerActivity,Add Opinion More Reply() Thesis Content Created Time Thesis Title Show the topic title in here... Yes Opinion,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.Button android.widget.Button
16,NetworkAddNewViewControllerActivity,Moderator Email Trial Days Promotion To Promotion From Promotion Price Normal Price Youtube Link Organisation Description Network Name Moderator Email Trial Days Promotion To Promotion From Promotion Price Normal Price Youtube Link Organisation Description Network Name Save Add Network,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
17,NetworkAuditExistedMembershipUserViewControllerActivity,Temp Ban Block Remove User Email: Audit List,android.widget.RelativeLayout android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
18,NetworkWaitingListUserViewControllerActivity,Deny Approve Applicant Name: Waiting List,android.widget.RelativeLayout android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
19,NetworkEditViewControllerActivity,Promotion To Promotion From Promotion Price Normal Price Youtube Link Organisation Description Network Name Promotion To Promotion From Promotion Price Normal Price Youtube Link Organisation Description Network Name Update Edit Network,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
20,NetworkSubscriptionBrowseToJoinActivity,Mission Statement: Network Name: Browse To Join,android.widget.RelativeLayout android.widget.ImageView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
21,NetworkInvitingViewControllerActivity,Deny Accept Network Name: Inviting,android.widget.RelativeLayout android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
22,NetworkSubscriptionPaymentViewControllerActivity,null,android.support.constraint.ConstraintLayout
23,EditTopicActivity,Update Topic Title... Update Topic,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.Button
24,StreamAddYourThesisViewControllerActivity,[ Available: .] References Publish [] theisTitle Add Opinion,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.view.View android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
25,ShowOneThesisWithItsRepliesViewControllerActivity,Thesis Content Created Time Thesis Title Show the thesis title in here... Thesis Reply,android.widget.RelativeLayout android.widget.ImageView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
26,EditCurrentThesisViewControllerActivity,[.] Available: Edit References Edit Youtube Links ] [ Title Save Edit Thesis,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.view.View android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
