id,label,text,view
0,StartActivity,POWERED BY,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
1,Login,New here? create an account Forgot password ? Sign In sign in to continue to IngOT. Welcome back,android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView
2,MainActivity,SETTINGS HELP ... NOTIFICATIONS ALERTMODES No SATS Added!! Please add SATS in BOT No SATS Added No SATS Added!! Please add SATS in BOT No SATS added Sensor is dead Sat Name Sensor is dead Sat Name Dead All ok No BOT Registered No SATS Added!! Please add SATS in BOT No SATS Added No SATS Added!! Please add SATS in BOT No SATS added Sensor is dead Sat Name Sensor is dead Sat Name Dead All ok No BOT Registered SATS 0,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomButton com.iball.ingot.CustomStyles.CustomTextView
3,Register,Already had account? sign in here Sign up Corporate Individual Password* Mobile number* Username* Email id,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomButton com.iball.ingot.CustomStyles.CustomButton android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.Spinner android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.ImageView
4,ForgotPass,Back to login Send password Mobile number* Username*,android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.Spinner android.widget.TextView com.iball.ingot.CustomStyles.CustomEditText android.widget.ImageView
5,Security,Medium Alert Mode Active SETTINGS HELP MEDIUM ALERT NO ALERT Enable ALERT MODES,android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ListView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageButton android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomButton com.iball.ingot.CustomStyles.CustomButton com.iball.ingot.CustomStyles.CustomButton android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView
6,AllSensors,SETTINGS HELP HI. C HI. C HI. C HI. C HI. C HI. C )ALL OK,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageButton android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.RelativeLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button com.iball.ingot.CustomStyles.CustomTextView
7,Log,CLEAR LOG NOTIFICATIONS,android.widget.LinearLayout android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomButton android.widget.ListView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView
8,HelpActivity,SETTINGS HELP Services SAT BOT Plug Policies and Plug Schedule Troubleshooting Group Chat App Functionality Related Setup login and installation Related About IngOT FREQUENTLY ASKED QUESTIONS,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton com.iball.ingot.CustomStyles.CustomTextView android.widget.TextView com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageButton android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView
9,Chat,Send @ @ GROUP CHAT,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton com.iball.ingot.CustomStyles.CustomEditText android.widget.ListView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView com.iball.ingot.CustomStyles.CustomTextView android.widget.LinearLayout com.iball.ingot.CustomStyles.CustomTextView
