id,label,text,view
0,MainActivity,MY CREATION GALLARY,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.FrameLayout android.widget.ImageView com.google.android.gms.ads.AdView
1,HomeTab,Moments,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.widget.LinearLayout com.jamsco.songvideomakerphotovideomaker.tablayout.SlidingTabLayout com.jamsco.songvideomakerphotovideomaker.tablayout.SlidingTabStrip android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
2,MyCreationActivity,My Video,android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
3,DisplayAlbumActivity,Select Photo,android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
4,SelectionListActivity,FIT ORIGINAL 0 0 0 0 ) Arrange Photos,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.Button android.view.ViewStub android.widget.FrameLayout org.askerov.dynamicgrid.DynamicGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView
5,VideoMakerMain,Default Audio Namedgssssgsgsdg 00:00 00:00 %02d:%02d 00:00 0 0 0 Preview,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout com.jamsco.songvideomakerphotovideomaker.sticker.StickerTouchSingleFingerView android.widget.ImageView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
6,ImageEditorActivity,0 0 0 0 0 0 0 0 Photo Editor,android.widget.RelativeLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.FrameLayout drawView.DrawingView android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout com.edmodo.cropper.CropImageView com.edmodo.cropper.cropwindow.CropOverlayView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.gesture.GestureOverlayView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
7,FreeCropActivity,null,android.widget.RelativeLayout android.widget.RelativeLayout crop.customViews.FreeCropView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button
8,PaintAndCropActivity,Eraser Brush,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout crop.customViews.DrawWithUndoRedoView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button
9,DrawActivity,Eraser Brush,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout com.drawactivity.DrawWithUndoRedoView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button
