id,label,text,view
0,MainActivity,OK Cancel # To start Machine $ You are about to pay OR To use the machine REFILL MY ACCOUNT Card # $-.-- Card Balance $-.-- Bonus Balance $-.-- Credit Balance SRC: %1$s email Hello Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
1,RefillActivity,OK Cancel # To start Machine $ You are about to pay Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
2,SigninActivity,Re-Scan Smartphone Registration Code Register IT'S FREE! SIGN IN Forgot Password Password Email Address Location,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView
3,TransactionHistoryActivity,OK Cancel # To start Machine $ You are about to pay Transaction Informationcurrently unavailable Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
4,SrcActivity,Back to Sign in OR START Please press START to auto detectyour Laundry Room Let's Get Started,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.TextView
5,UsageHistoryActivity,OK Cancel # To start Machine $ You are about to pay Transaction Informationcurrently unavailable Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
6,HistoryActivity,OK Cancel # To start Machine $ You are about to pay Usage History Account Refill History Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
7,SplashActivity,null,android.widget.RelativeLayout android.widget.ImageView
8,TermsActivity,OK Cancel # To start Machine $ You are about to pay �7To the maximum extent permitted by law and for the a 10. DISCLAIMER OF WARRANTIES ��9.3. Nothing in these App terms shall exclude or limit ALS' liability for death or personal injury caused by negligence or for fraud or fraudulent misrepresentation or any other liability which cannot be excluded or limited under applicable la ��9.2. ALS is not liable to you for any damage or alteration to your equipment including but not limited to computer equipment handheld device or mobile telephones as a result of the installation or use of the Applicatio ��9.1. In no event will ALS be liable for any direct indirect special punitive exemplary or consequential losses or damages o 9. LIMITATION OF LIABILITY ��8.2. Upon any termination (a) the rights and licenses granted to you herein shall terminate; (b) you must cease all use of the Softwar 8.1. ALS may terminate use of the Application at any time by giving notice of termination to you. 8. TERMINATION 7.3. The version of the Application software may be upgraded from time to time to add support for new functions and services. ��7.2. The Software Requirements are as follows: Apple iOS devices running iOS 9 or greater and Android OS devices running Android OS 4.4 or greater; Language: Engli ��7.1. In order to use the Application you are required to have a compatible mobile telephone or handheld device Internet access and the necessary minimum specifications ('Software Requirements' 7. SYSTEM REQUIREMENTS 6.3. ALS will not be responsible for any support or maintenance for the Application. �%6.2. ALS its group of companies an ��6.1. This Application is available to handheld mobile devices running Apple iOS and Android OS Operating Systems. ALS will use reasonable eff 6. AVAILABILITY ��5.4. If you are not the bill payer for the mobile telephone or handheld device being used to access the Application you will be assumed to have received permission from the bill payer for using the Applicatio ��5.3. You acknowledge that the terms of agreement with your respective mobile network provider ('Mobile Provider') will continue to apply when using the Application. As a resul �'5.2. The Application is currently mad �E5.1. You will not nor allow third parties on your behalf to (i) ma 5. CONDITIONS OF USE ��4.2. ALS hereby grants you a worldwide non-exclusive royalty-free revocable licence to use the Application for your personal use in accordance with these App Term ��4.1. All trademarks copyright database rights and other intellectual property rights of any nature in the Application together with the underlying software code are owned either directly by ALS or by ALS' licensor 4. PROPRIETARY RIGHTS AND LICENCE ��Any personal information you supply to ALS when using the Application will be used by ALS in accordance with its Privacy Poli 3. DATA PROTECTION �KThe "Application" shall mean the software provided by Automatic Leasing S 2. DEFINITIONS ��1.1. By installing the Application (as defined below) you agree to be bound by these terms of use ("Sudkick App terms"). Please review them carefully before installation and/or acceptanc 1.GENERAL Sudkick Mobile AppTerms and Conditions Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
9,PrivacyActivity,OK Cancel # To start Machine $ You are about to pay �� This privacy policy discloses the privacy practices for the Sudkick Mobile App. This privacy policy applies to all users who download and use the Sudkick Mobile app. It will notify you of the following: 1. What personally ident Sudkick MobileApp Privacy Policy Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
10,RegistrationActivity,OK Cancel # To start Machine $ You are about to pay Mobile Number # (optional) Suite # / Apartment # CVC Confirm Laundry Card # Laundry Card # Verification Number Send me the code ��NOTE: To be eligible to receive a bonus you MUST enter a valid Mobile Number and check this box to agree to receive a code via SMS for verification. If you want to skip verification press Submit to complete registratio Mobile Number # (optional) Confirm Password Password Email Address Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
11,RoomStatusActivity,OK Cancel # To start Machine $ You are about to pay Dryer Not Found available Dryers Washer Not Found available Washers My Laundry Room Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView com.kiosoft.sudkick.utils.ExpandableHeightGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView com.kiosoft.sudkick.utils.ExpandableHeightGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
12,RoomsActivity,OK Cancel # To start Machine $ You are about to pay Room Not Found Save Title,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.view.View android.widget.ExpandableListView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.ListView android.widget.ImageView android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
