id,label,text,view
0,Splash,null,android.widget.RelativeLayout
1,Navigation,Kolhapur Tourism,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.support.v7.widget.RecyclerView android.support.design.widget.AppBarLayout android.support.design.widget.CollapsingToolbarLayout android.support.v7.widget.Toolbar android.widget.TextView com.daimajia.slider.library.SliderLayout android.widget.RelativeLayout com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Tricks.InfiniteViewPager
2,Welcome,START,android.widget.RelativeLayout android.widget.Button android.view.View android.widget.LinearLayout android.support.v4.view.ViewPager
3,SocialFragment,Offers and event,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.webkit.WebView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
4,PrimaryFragment,Live Kolhapur,android.support.design.widget.CoordinatorLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
5,Hotel,New Text Hotel,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
6,UpdatesFragment,Geography Sports Factory Education Kolhapuri Bhadang Kolhapuri Gurhal Kolhapuri jwellery Wrestling Kolhapuri chappal Kolhapuri pheta Kolhapur Special About Kolhapur,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
7,SentFragment,New Text Places,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
8,Transport,Airport Travel Agency Taxi Stand Bus Station Auto Time Table Transport,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
9,Parking,Mahalxmi mandir parking lot near Mahalxmi temple Bindu ChowkRajaram RoadShivaji peth Kolhapur Mahalaxmi Mandir Parking Parking,android.support.design.widget.CoordinatorLayout android.support.design.widget.FloatingActionButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
