id,label,text,view
0,V_Intro,v1.5 @ 2018 Entrar Apptoinmunes,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
1,V_Main,Sobre nosotros Enlaces Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Apptoinmunes,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView
2,V_Criterios,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Criterios Clasificatorios,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView
3,V_Nosotros,Manaca Consulting S.L. Inés Losada López Juan González Moreno Criterios Clasificatorios,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
4,V_Calculadoras,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Calculadoras,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView
5,V_Auto,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Auto-anticuerpos Enfermedades Enfermedades Auto-anticuerpos Auto-Anticuerpos,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView
6,V_Escalas,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas de Actividad Escalas Actividad,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView
7,V_Enlaces,Enlaces,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
8,V_Tratamiento,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Autoinmunes Tratamiento Tratamiento,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.TextView
9,V_Auto_Lista,Tratamiento Auto-Anticuerpos Calculadoras Escalas de Actividad Criterios Clasificatorios Auto-Anticuerpos,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
