id,label,text,view
0,Permissioncheck,OK Please enable security permissions for astroguide app in settings.Goto Settings->Apps->Astro Guide->Permissions to give required permissions.This is required for Astroguide to run properly in your mobile/tab.Meeval Software Technologies Pvt. Ltd.Ph: 9567720102. Unable to run!,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView
1,Initialreg,��Meeval Software Technologies Pvt. Ltd.KJ BuildingNear Krishankripa AuditoriumNH Bypass Vadakara CalicutKerala India-673103Ph : +91 496 2523433 (Office)Mob : +91 9567720102WhatsApp : +91 94964102 Request Sending failed please check your internet connection Register This field can not be blank This field can not be blank Register Jyotishmati,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.TextView
2,MainActivity,ജ്യോതിഷ്മതി Trail ജ്യോതിഷ്മതി,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView
3,Prasnainput,OK Now സ്ഥലം തീയതി ആരൂഢം പ്രശ്നം ലിംഗം സ്ഥലം തീയതി ജാതകം അടിസ്ഥാനം ജാതക-പ്രശ്ന വിവരങ്ങൾ ജാതക-പ്രശ്ന വിവരങ്ങൾ,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ScrollView android.widget.TableLayout android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
4,Settings,OK Restore ജാതക-പ്രശ്ന വിവരങ്ങൾ Settings,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
5,Process,Activate Activiation key Request Sending failed please check your internet connection Request for Activation Key License Please accept the license and terms This field can not be blank This field can not be blank address This field can not be blank This field can not be blank Payment options:1. Type VPP in payment details and request for activation key. The activation key would be sent to you as VPP. You can pay the money to the postman when you receive the activation key as VPP for Rs.1000/- OR. 2. Deposit Rs.1000/- in ICICI Account No: 022105000960IFSC Code: ICIC0000221Account Holder:Meeval Software Technologies Pvt LtdBank: ICICI Bank Vatakara Branch Kozhikode Kerala OR 3. Send a DD or MO of Rs.1000/- in favor of Meeval Software Technologies Pvt. Ltd. Vatakara Calicut � 673103 For details contact +91 9567720102WhatsApp : +91 9496410284 Trial version permits year 2000 only. Full version Price Rs.1000/- If not VPP make payment and then only request for activation key. Activaition Details,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.Button android.widget.Button android.widget.CheckBox android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
6,About,About,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
7,MAIN,null,null
8,Disclamier,OK Dont show again � ജ്യോതിഷ്മതി,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.CheckBox android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView
9,Prasnaquestion,OK Check all Calculation Rule View Question Subject ജാതക-പ്രശ്ന വിവരങ്ങൾ വിഷയം,android.widget.RelativeLayout android.widget.Button android.widget.ScrollView android.widget.TableLayout android.widget.TableRow android.widget.CheckBox android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.TextView
