id,label,text,view
0,Act_Splash,Make Photo Slideshow Make Photo Slideshow,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
1,Act_SLash,Cancel Exit Exit application ? Make Photo Slideshow Make Photo Slideshow Please check your data connection and try again. Make Photo Slideshow More apps from Developer Make Photo Slideshow Space for ads Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.animations.maker.activity.ScrollableGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
2,Act_Creation,Album not Created yet My Creation,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.lyrics.maker.view.EmptyRecyclerView android.widget.LinearLayout android.widget.TextView
3,Lyrics_ThemeA,Make Photo Slideshow Make Photo Slideshow Library Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout com.animations.maker.activity.ScrollableGridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView androidx.appcompat.widget.Toolbar
4,Lyrics_ALbum,Images not selected yet (1) clear Select photo Make Photo Slideshow,android.widget.FrameLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.lyrics.maker.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.lyrics.maker.view.EmptyRecyclerView android.widget.RelativeLayout android.widget.TextView com.lyrics.maker.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View androidx.recyclerview.widget.RecyclerView android.view.View android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
5,Make_Gallery,Please select some photos (1) clear,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.animations.maker.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.animations.maker.view.DataObserver1 android.widget.RelativeLayout android.widget.TextView com.animations.maker.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View androidx.recyclerview.widget.RecyclerView android.view.View android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.view.View androidx.appcompat.widget.Toolbar
6,Pic_Crop,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Crop photo Make Photo Slideshow,android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView com.naver.android.helloyako.imagecrop.view.ImageCropView android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
7,Pic_Editor,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Photo Editor,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout me.grantland.widget.AutofitTextView androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout com.editors.maker.StickerView android.widget.ImageView androidx.appcompat.widget.Toolbar android.widget.TextView
8,Lyrics_Theme2,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,Lyrics_Preview,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Preview Create Video,android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView
10,Lyrics_Share,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Share video Make Photo Slideshow,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
11,Make_Share,Space for ads Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow 01:00 01:00 Make Photo Slideshow Share video effect,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout androidx.cardview.widget.CardView com.animations.maker.view.ResizedImageViewRel android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.view.View com.animations.maker.view.PlayPauseListner1 android.widget.RelativeLayout android.view.View android.widget.TextView
12,Lyrics_Tune,End: Fast forward Play Rewind Start: Make Photo Slideshow Make Photo Slideshow .0 . .0 . Make Photo Slideshow Make Photo Slideshow Online back Make Photo Slideshow,android.widget.FrameLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.EditText android.widget.ImageView androidx.recyclerview.widget.RecyclerView android.widget.ImageView android.widget.AbsoluteLayout com.lyrics.maker.view.MarkerView com.lyrics.maker.view.MarkerView com.lyrics.maker.view.WaveformView android.widget.ImageView android.view.View android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
13,Lyrics_Make,images Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Select photo,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
14,ActCropPhoto,Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Full Crop Make Photo Slideshow,android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView com.naver.android.helloyako.imagecrop.view.ImageCropView android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
15,Make_Swap,Make Photo Slideshow please saved some video first Make Photo Slideshow Swap photos,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.animations.maker.view.DataObserver1 android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.TextView
16,Make_Tune,End: Fast forward Play Rewind Start: Make Photo Slideshow Make Photo Slideshow . .0 . .0 Make Photo Slideshow Make Photo Slideshow,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.EditText com.google.android.gms.ads.AdView android.widget.ImageView androidx.recyclerview.widget.RecyclerView android.widget.ImageView android.widget.AbsoluteLayout com.animations.maker.view.Mp3Marker com.animations.maker.view.Mp3Marker com.animations.maker.view.WaveformDraws android.widget.ImageView android.widget.ImageView androidx.appcompat.widget.Toolbar
17,Make_Preview_Image,Frame animation time 00:00 00:00 15:00 00:00 Please wait... Make Photo Slideshow,androidx.coordinatorlayout.widget.CoordinatorLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.animations.maker.view.VideoPreviews com.animations.maker.view.VideoPreviews androidx.appcompat.widget.Toolbar
18,Make_Save_Image,Space for ads Saving Progress 1% Make Photo Slideshow Do not close this screen until video have been saved,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View androidx.appcompat.widget.Toolbar
19,Make_Themes,Space for ads Please wait... Make Photo Slideshow Download Make Photo Slideshow Download Make Photo Slideshow Photo themes,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView com.animations.maker.activity.ScrollableGridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView
20,Make_Saved,Make Photo Slideshow Album not Created yet Space for ads Make Photo Slideshow Video creation,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View com.animations.maker.view.DataObserver1 android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
21,Make_Preview_Video,Photos slide time Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow Make Photo Slideshow 00:00 00:00 Make Photo Slideshow Please wait... Make Photo Slideshow Make Photo Slideshow,android.widget.RelativeLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.animations.maker.view.VideoPreviews com.animations.maker.view.VideoPreviews android.widget.RelativeLayout androidx.appcompat.widget.Toolbar
22,Make_Save_Video,Space for ads Saving Progress 1% Make Photo Slideshow Do not close this screen until video have been saved,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View androidx.appcompat.widget.Toolbar
