id,label,text,view
0,Settings,Not a member? Sign up now. FORGOT PASSWORD LOGIN Password Password Username Username Welcome to Payonly1,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView
1,Askpin,Sign In Enter 4 Digit PIN The Application is protected with Security PIN. Please Enter your security PIN to open the application. Sign In,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView
2,MainMenu,TextView Name,android.widget.LinearLayout android.widget.GridView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView
3,Security,Save Skip Confirm 4 Digit PIN 4 Digit PIN OFF ON Security Settings,android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView
4,MobileRecharge,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN PIN Amount must be valid Amount Check Offer Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Mobile Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
5,DthRecharge,Proceed to Recharge Get Info We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN PIN Amount must be valid Amount Select Operator DTH Operator Subscriber Number Subscriber Number DTH Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
6,AddRetailer,Add Retailer Name Username Mobile Add Retailer,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
7,DataCard,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Operator Data Card Operator Mobile number must be 10 digits Number Data Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
8,Postpaid,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN PIN Amount must be valid Amount Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Postpaid Bills,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
9,Electricity,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN PIN Amount must be valid Amount Select Provider Provider Account No Account No Electricity,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
10,Gas,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. Amount must be valid Amount Select Provider Provider Account No Account No Gas,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
11,Insurance,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. dd/MM/yyyy Date of Birth Amount must be valid Amount Select Provider Provider Account Number Number Insurance,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
12,SummryReports,Search // // Recharge Summary,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TextView android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
13,Profile,Update Address Company Email Name Mobile Username Profile,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
14,PayRequest,Update Payment,android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
15,BillCheck,Bill Check,android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
16,Payment,Search // // Payment History,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
17,CheckDispute,Check Status Recharge Id required Please enter the Recharge Id to get the status of the recharge transaction Check Status,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
18,ReportDispute,Report Recharge Id required Please enter the Recharge Id to report a Recharge Dispute Report Dispute,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
19,SearchNumber,Search Number is required Search Recharge,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
20,RetailerList,Search Mobile or Username is required Retailer List,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
21,TransferMoney,Transfer Money,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
