id,label,text,view
0,Activity_menu,× Compressed Files Video Compression Photo Compression,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView android.widget.RelativeLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView android.widget.RelativeLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
1,CompressedImage,× There is no compressed file Compressed Files,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView androidx.recyclerview.widget.RecyclerView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView
2,CompressedVideo,× Video Compressor,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView
3,VIEW,null,null
4,Activity_Splash,× Video and Photo Compressor,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView android.widget.LinearLayout
5,Activity_ImageList,× Video Compressor,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView
6,Activity_VideoList,× Video Compressor,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView
7,Activity_Image,× Compression Video Compressor,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.ImageView
8,Activity_CompressImage,× Cancel Apply 80% Quality: x Size: Photo Compression,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt com.mohssenteck.compressorfilmax.views.EditView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.EditText com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt
9,Activity_CompressVideo,× Cancel Apply Quality: Very Fast Fast Normal Slow Speed: Format: video Compression,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TableRow android.widget.ProgressBar com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Spinner com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt com.mohssenteck.compressorfilmax.views.IranYekanMediumtxt
