id,label,text,view
0,AOAPlayerActivity,cloud content cloud content cloud content cloud content cloud content : : Calibrate remote speaker,android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.SeekBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.view.SurfaceView
1,WebViewActivity,cloud content,android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.Spinner android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ProgressBar android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.webkit.WebView android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.Spinner android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ProgressBar android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.webkit.WebView
2,CloudSourceListActivity,List by Genre Single List cloud content,android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout
3,PlayListActivity,cloud content Save New or Delete Playlist List by Genre List by Album List by Artist List by Directory Single List,android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.GridView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.RelativeLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.RelativeLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.Spinner
4,NewPlayListActivity,Create New Playlist Name:,android.widget.LinearLayout android.widget.Button android.widget.AutoCompleteTextView android.widget.TextView
5,AirplayDeviceActivity,cloud content,android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout
6,SavePlayListAsActivity,Save New Playlist Name:,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.AutoCompleteTextView android.widget.TextView android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView
7,DeletePlayListActivity,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView
8,AddCloudMenuBookmarkActivity,Add My Bookmark Bookmark Title:,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.AutoCompleteTextView android.widget.TextView android.view.View
9,AddPlaylistBookmarkActivity,New Playlist Tap to Select playlist(s): Genre Album Artist Bookmark Title cloud content,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.RelativeLayout android.support.v4.view.AOAViewPager android.widget.Spinner android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout
