id,label,text,view
0,HomeScreen,MTG: Judge Core App MTG: Judge Core App,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ExpandableListView android.widget.ListView android.view.View android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,InitCardData,Loading please wait...,android.widget.LinearLayout android.widget.TextView
2,DecklistCounter,Undo Reset Lock current screen orientation 4 3 2 1,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.CheckBox android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView
3,DraftTimer,Start from the beginning Previous Next Reset Stop Alert me when time is up Current status:,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.CheckBox android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView
4,ChangeTextSize,Update This is a sample text + - Changing text size,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView
5,ComprehensiveRules,Press Enter to search,android.widget.RelativeLayout android.widget.ListView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText
6,InfractionPenalty,Press Enter to search,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText
7,TournamentRules,Press Enter to search,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText
8,SetFAQs,Press Enter to search,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText
9,DisplayJAR,>> >> >> >> Search text >> >> >> >> Search text >> >> >> >> Search text,android.widget.RelativeLayout android.widget.RelativeLayout com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonUp com.ndrue.gathereroffline.RotateButtonUp android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.ListView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.RelativeLayout com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonUp com.ndrue.gathereroffline.RotateButtonUp android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.RelativeLayout com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonDown com.ndrue.gathereroffline.RotateButtonUp com.ndrue.gathereroffline.RotateButtonUp android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.Button android.widget.EditText
10,RestrictedBanlist,Press Enter to search,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.EditText
11,ImageOnly,null,android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton
12,MainActivity,Searching... Enter search (press Enter to search),android.widget.RelativeLayout android.widget.ListView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.EditText android.widget.Button android.widget.AutoCompleteTextView
13,AdvancedSearchHome,OK Card number to search Show only selected color(s) Card type to search Oracle text to search Title to search Expansion: Y Advanced Search MTG: Judge Core App,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.RelativeLayout android.widget.EditText android.widget.ListView android.widget.ListView android.widget.LinearLayout android.widget.CheckedTextView android.widget.ImageView android.widget.LinearLayout android.widget.CheckedTextView android.widget.ImageView android.widget.LinearLayout android.widget.CheckedTextView android.widget.ImageView android.widget.LinearLayout android.widget.CheckBox android.widget.ListView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.view.View android.widget.ListView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
14,MiscOptions,Database on SDCard: ON MTG: Judge Core App MTG: Judge Core App,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ExpandableListView android.widget.ListView android.view.View android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
15,AddonDescription,Get from developer's site Get from Google Play Store TextView by,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
16,VIEW,null,null
17,AdvancedSearch,Searching... Enter search (press Enter to search),android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.EditText android.widget.Button android.widget.AutoCompleteTextView
18,ShowCardDetails,[+] Show Gatherer rulings No details yet [-] Hide card legality View partner card Type: Get image Image,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.ImageView
19,ExtraAddOns,Add Ons MTG: Judge Core App,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ExpandableListView android.widget.ListView android.view.View android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
