id,label,text,view
0,RegisterMerchantActivity,Offline Merchant Register Service Merchant Register Select Type of Merchant in Which You Want to Register NexMoney Merchant,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
1,ServiceMerchantRegisterActivity,Register ( Optional ) Select Image Select Type Service Merchant Service Merchant Select City Service Merchant Select State Service Merchant OK Verified Verify PIN Service Merchant Register NexMoney Merchant,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
2,OfflineMerchantRegisterActivity,Register ( Optional ) Select Image Select Type Offline Merchant Offline Merchant Select City Offline Merchant Select State Offline Merchant Verify Error. Try Again Verify PIN Offline Merchant Register NexMoney Merchant,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
3,OnlineMerchantRegisterActivity,Register Select Image Online Merchant Register NexMoney Merchant,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.Button android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
4,IMAGE_CAPTURE,null,null
5,MerchantCityActivity,Pune,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.support.v7.widget.SearchView
6,OnlineServiceTypeListActivity,India NexMoney Merchant,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
7,MoneyTransferActivity,Add Recepient No recepients found,android.widget.LinearLayout android.widget.RelativeLayout com.rey.material.widget.Button android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView android.widget.ListView android.support.v7.widget.Toolbar
8,AddRecepientActivity,ADD IFSC Code Recipient Number Recipient Name Recipient Account Number,android.widget.RelativeLayout com.rey.material.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.TextView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ProgressBar android.widget.LinearLayout com.rey.material.widget.EditText com.rey.material.widget.d android.widget.TextView android.support.v7.widget.Toolbar
9,MoneyHomeActivity,No Transaction Present Transfer ₹ History ₹ Total Available Balance,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.TextView com.rey.material.widget.Button android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
