id,label,text,view
0,LoginView,More Location Messages Events Logout Login key OR key- Device key password Password username Username Not signed in; alarms can't be received,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView
1,PinView,Login 17039360 Personal code,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.TextView android.widget.ImageView
2,UserLocationView,More Location Messages Events,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.webkit.WebView
3,MessageView,More Location Messages Events,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.ViewFlipper com.ninesolutions.ipcslite.EventCustomListView com.ninesolutions.ipcslite.EventCustomListView com.ninesolutions.ipcslite.EventCustomListView android.view.View android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.widget.Spinner android.widget.TextView
4,EventView,More Location Messages Events,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.ViewFlipper com.ninesolutions.ipcslite.EventCustomListView com.ninesolutions.ipcslite.EventCustomListView com.ninesolutions.ipcslite.EventCustomListView android.view.View android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.widget.Spinner android.widget.TextView
5,EventItemView,More Location Messages Events eventItemContentTextView,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.view.View android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView
6,OfflineAlarmPopup,OK Please check network connection!,android.widget.LinearLayout android.widget.Button android.widget.TextView
7,RebootQueryPopup,17039370 There has been a problem communicating with the server. Try to solve it by restarting the phone.,android.widget.LinearLayout android.widget.Button android.widget.TextView
8,AlarmPopup,Close,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.ScrollView android.widget.TextView
9,CALL,null,null
10,GCMFailedPopup,17039370 There has been a problem communicating with the server. Try to solve it by restarting the phone.,android.widget.LinearLayout android.widget.Button android.widget.TextView
11,LoggedOutAlert,Login Not signed in; alarms can't be received,android.widget.RelativeLayout android.widget.Button android.widget.TextView
