id,label,text,view
0,MainActivity,Quit Open a saved formation Create your formation Welcome,android.widget.FrameLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView
1,ChooseNumberOfPlayersActivity,Create a formation 11 10 9 8 7 6 5 Select the number of players,android.widget.FrameLayout com.google.android.gms.ads.AdView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
2,OpenSavedFormationActivity,Open a saved formation,android.widget.FrameLayout com.google.android.gms.ads.AdView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
3,ChooseFormationActivity,Create a formation 3-2-2-2 2-1-1 4-2-4 2-2 Basic formation,android.widget.FrameLayout com.google.android.gms.ads.AdView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
4,ChooseTShirtActivity,Create a formation Pick a T-shirt,android.widget.FrameLayout com.google.android.gms.ads.AdView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.GridView android.widget.ImageView android.widget.TextView
5,ChooseTeamName,Create a formation Formation already exist Choose the name of your team,android.widget.FrameLayout com.google.android.gms.ads.AdView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView
6,VersusActivity,Team2 Team1 Team Name Team Name,android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.AbsoluteLayout android.widget.AbsoluteLayout android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
7,SinglePlayerActivity,Exit Tell a Friend Open a saved one Main Menu Team Name,android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView com.projex.football.dragevent.DragLayer android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ExpandableListView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView
8,VersusMenuActivity,Back Duplicate Open a saved one New formation Versus mode,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView
9,GIFActivity,null,android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.AbsoluteLayout android.widget.VideoView android.view.SurfaceView
10,VersusSinglePlayerActivity,Exit Tell a Friend Open a saved one Main Menu Team Name,android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView com.projex.football.dragevent.DragLayer android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ExpandableListView android.support.design.widget.CoordinatorLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView
