id,label,text,view
0,Start,PLAY,android.widget.RelativeLayout android.widget.Button
1,Pag1,OK Level 1 Guess the nation Videos for suggestions,android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.ImageView android.widget.TextView android.widget.Button com.google.android.gms.ads.AdView
2,Pag2,OK Level 2 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
3,Pag3,OK Level 3 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
4,Pag4,OK Level 4 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
5,Pag5,OK Level 5 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
6,Pag6,OK Level 6 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
7,Pag7,OK Level 7 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
8,Pag8,OK Level 8 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
9,Pag9,OK Level 9 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
10,Pag10,OK Level 10 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
11,Pag11,OK Level 11 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
12,Pag12,OK Level 12 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
13,Pag13,OK Level 13 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
14,Pag14,OK Level 14 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
15,Pag15,OK Level 15 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
16,Pag16,OK Level 16 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
17,Pag17,OK Level 17 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
18,Pag18,OK Level 18 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
19,Pag19,OK Level 19 Videos for suggestions,android.widget.RelativeLayout android.widget.EditText com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button
