id,label,text,view
0,MainActivity,Contact us Privacy Policy Gifts and Offers Consult our Dietician Order Diet Chart Amazing Apps for you Stop Ads Foods to Avoid for Healthy Kidney Tips to avoid Renal Disease Yoga for Healthy Kidney Home Remedies for Healthy Kidney Healthy Foods to Eat Daily Diet Plan for Renal Disease Tips to Keep Your Kidneys Healthy Tips to Prevent Kidney Problems Foods to Avoid Foods to Eat Risk Factors Signs and Symptoms What is Kidney Disease? PRO Features Ideal Weight BMI Calculator Renal Disease Kidney Friendly Diet,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
1,Amazing,Piano App Amazing Apps for you,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
2,Activity6,�;Excess intake of alcohol can disturb the electrolyte bala Avoid alcohol and smoking �Filtration of blood is Don’t resist the urge to urinate ��Nearly all processes taking place inside your body are affected by what you choose to eat and how you eat. If you eat more unhealthy junk and fast food then your organs have to face the Eat fresh food and avoid junk �%Obesity is closely linked to kidney Exercise daily �Hydra Drink lots of water every day � Salt increases the amount of Reduce the intake of salt ��In most of the cases kidney disease is a secondary illness that results from a primary disease or condition such as diabetes heart disease or high blood pressure. Around 50percent of people who have diabetes develop kidney problems Manage Diabetes High Blood Pressure and Heart Disease Tips to Prevent Kidney Problems,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
3,GiftActivity,DRPU Excel to Phonebook converter is amazing software to save your time and efforts. Software reads contacts data automatically from excel and create vCard file that you can import in Phonebook WhatsApp or any social media website. It takes few seconds to just a single click. Converts Excel data into vCard contacts format compatible with Phone & Whatsapp. DRPU Excel to Phonebook Converter Data Doctor Recovery to recover deleted files photos videos & folders from Hard Disk USB Drive memory cards Cell Phone mass storage pen drives USB Hard disks and other storage media. DDR Recovery Software is available for Microsoft Windows as well as Apple Mac OS X operating Systems. Best software to recover deleted or lost data from hard disk pen drive memory card etc. DDR Data Recovery Software This software has all type of supported Barcode fonts Major Stationary and Labels templates and is suitable for Barcode requirements for any type of Businesses and requirements with maximum international formats compatibility features. Software has a number of Process automation features such as Batch Processing Excel data Import features Exports generated barcodes to various image formats and PDF etc and a number of other automation and designing features as per various industry needs. All type of Barcode fonts for any type of requirements and Businesses DRPU Barcode Label Maker Software Send Mobile Text SMS from your Computer to any mobile device at any location. DRPU Bulk SMS Software sends bulk SMS from your computer and supports all type of Android phones Multiple Mobile Devices as well as USB Modems for SMS sending. Software has all major business enabled features such as Personalized Dynamic messages (from Excel import Text files and copy-paste/manual user inputs) Unicode as well as English characters support capabilities of sending Flash/Notification messages. More than “50% discount”. DRPU Bulk SMS Software Gifts and Offers,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton
4,ProFeatures,Contact PRO Features Technical Support PRO Features,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,Aboutus,Enter Tech Support Code http://www.onelife2care.com Website: support@onelife2care.com Contact us: ©Copyright 2018DRPU Software Pvt Ltd Renal Disease Kidney Friendly Diet About Us,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.FrameLayout android.widget.Button com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView android.widget.TextView
6,Consult,info dietitian Once you have made the payment send us your order number so that we may forward your request to one of our dieticians. Press Following button to purchase Consultation token. Do you need to Consult a professional Dietician? Nutritionist / Dietician KAVERI TYAGI,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
7,Activity5,�OMany people believe they are doing something healthy for their bodies when th Artificial sweeteners ��The problem with dairy products is similar to that of other animal proteins. Consuming dairy products increased the excretion of ca Dairy products �OYour body needs a little bit of sodium in order to maintain proper fluid bala Salt �"One tablespoon of mayonnaise con Mayonnaise: ��Butter is made from animal fat and contains cholesterol calories and high levels of saturated fat. Margarine is made from vegetable oi Butter: �Scrap cold Processed deli meats: ��Soda provides no nutritional benefit and is packed with sugars either natural or chemically manufactured. This equates to extra calories in your diet and can ultimately result in unwanted weight gain. A typical 12 oz. cola has Soda: Foods to Avoid,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
8,Food_to_avoid_pro,��Diets high in animal protein can cause kidney damage. A high-protein diet put more stress on kidney as metabolizing proteins are hard for the kidneys. Animal proteins contains phosphorus and purines. Phosphorus is bad for the kidneys especially alre High animal protein � Just like anti oxidants ar Foods High In Oxalic Acid �VSodium is a natural mineral found in many foods and is most commonly found in table Foods That Contain Sodium ��Many people believe they are doing something healthy for their bodies when they consume artificial sweeteners because these ingredients are non-caloric. Skip the artificial sweeteners and stick with stevia if you need a little swee Artificial sweeteners �Carbo Carbonated beverages ��The problem with dairy products is similar to that of other animal proteins.Many study shows that consuming dairy products increased the excretion of ca Dairy products �YAs much as possible you should stay away from frozen meals like pizza and microwavable Frozen meals ��It is high in sodium sugar and fat. A tablespoon of mayonnaise contains 103 calories. Replace mayonnaise with a healthier option such as a non-fat Greek yogurt. It is high in protein and perfect for salad Mayonnaise ��Cold cuts should be completely avoided such as ham and bologna. The reason is that processed foods contain a high level of sodium and nitrates which are not only bad for your kidneys but for your overall healt Processed meat �2Caffeine in coffee tea soda and foods can als Caffeine �If yo High Phosphorus Foods �4Your potassium intake becomes a problem only after High Potassium Foods Foods to Avoid for Healthy Kidney PRO Features,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
9,Contact,Paid For PRO Features and need help accessing locked items? Contact Us,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
