id,label,text,view
0,MainActivity,G İ R İ Ş,android.widget.RelativeLayout android.widget.Button
1,Liste,15. Ninnanna (Baba Sesi) 14. Bebeği Nazlı Büyüttüm 13. Uyu Yavrum 12. Nenni Desem Uyurmu Ola 11. Ninnide Kuzum 10. Ninnilerin Bani Yakar 9. Uyu Kızım (Anne Sesi) 8. Uyu Kızım (Baba Sesi) 7. Benim Babam 6. Sen Bir Güzel Meleksin 5. Benim Küçük Yıldızım 4. Bana Bir Masal Anlat Baba 3. Bebeğimin Uykusu mu Gelmiş 2. Melek Bebek (Baba Sesi) 1. Hu Hu Hu Allah UYUTAN NİNNİLER,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
2,Onbir,Sardırmak İçin Resme Dokun Çalıyor: Ninnide Kuzum,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
3,Yedi,Sardırmak İçin Resme Dokun Çalıyor: Benim Babam,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
4,Sekiz,Sardırmak İçin Resme Dokun Çalıyor: Uyu Kızım (Baba Sesi),android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
5,Dort,Sardırmak İçin Resme Dokun Çalıyor: Bana Bir Masal Anlat Baba,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
6,On,Sardırmak İçin Resme Dokun Çalıyor: Ninnilerin Beni Yakar,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
7,Uc,Sardırmak İçin Resme Dokun Çalıyor: Bebeğimin Uykusu mu Gelmiş,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
8,Oniki,Sardırmak İçin Resme Dokun Çalıyor: Nenni Desem Uyur mu Ola,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
9,Bes,Sardırmak İçin Resme Dokun Çalıyor: Benim Küçük Yıldızım,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
10,Alti,Sardırmak İçin Resme Dokun Çalıyor: Sen Bir Güzel Meleksin,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
11,Onuc,Sardırmak İçin Resme Dokun Çalıyor: Uyu Yavrum,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
12,Ondort,Sardırmak İçin Resme Dokun Çalıyor: Bebeği Nazlı Büyüttüm,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
13,Onbes,Sardırmak İçin Resme Dokun Çalıyor: Ninnanna (Baba Sesi),android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
14,Dokuz,Sardırmak İçin Resme Dokun Çalıyor: Uyu Kızım (Anne Sesi),android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
15,Iki,Sardırmak İçin Resme Dokun Çalıyor: Melek Bebek (Baba Sesi),android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
16,Bir,Sardırmak İçin Resme Dokun Çalıyor: Hu Hu Hu Allah,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
17,List3DActivity,StartApp Ad info Download Powered By x x,android.widget.RelativeLayout com.startapp.android.publish.adsCommon.adinformation.d android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout com.startapp.android.publish.ads.list3d.c android.widget.RelativeLayout com.startapp.android.publish.a.b android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.view.View
18,OverlayActivity,null,android.widget.RelativeLayout com.startapp.android.publish.inappbrowser.AnimatingProgressBar
19,FullScreenActivity,null,android.widget.RelativeLayout com.startapp.android.publish.inappbrowser.AnimatingProgressBar
