id,label,text,view
0,MainActivity,TODO TODO TODO TODO TODO,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView
1,ConnectionMethod,TODO TODO TODO Select RC Communication Method,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
2,SplashScreenActivity,TODO,android.support.constraint.ConstraintLayout android.widget.ImageView
3,DroneListFirst,TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
4,DroneListThird,TODO TODO TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
5,DroneListSecond,TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
6,GpsConnection,Connecting To Drone Via GPS Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
7,WifiConnection,Connecting To Drone Via WIFI Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
8,BluetoothConnection,Connecting To Drone Via Bluetooth Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
9,GpsConnectionTry,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
10,DroneGbsRemoteControl,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
11,LastActivity,TODO If you enjoy using this app Please rate it with 5 stars to support us making it better.Thank You,android.widget.LinearLayout android.widget.ImageButton android.widget.TextView
12,WifiConnectionTry,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
13,DroneWifiRemoteControl,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
14,BluetoothConnectionTry,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
15,DroneBluetoothRemoteControl,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
