id,label,text,view
0,StartActivity,IZHOD VSTOPI,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout com.google.android.gms.ads.AdView
1,SelectActivity,ABOUT START SCREEN LUCKY NUMBERS FRIENDSHIP TEST TEST LJUBEZNI VPRAŠAJ KROGLO CHOOSE GAME:,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView com.google.android.gms.ads.AdView
2,QuestionActivityEng,ASK,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.EditText com.google.android.gms.ads.AdView
3,QuestionActivitySlo,VPRAŠAJ,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.EditText com.google.android.gms.ads.AdView
4,LoveActivity,IZRAČUNAJ Enter your partner's full name: Vpiši tvoje ime in priimek:,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView com.google.android.gms.ads.AdView
5,About,BACK TO MENU Visit our website please like :) Magic Ball Facebook page After we received such good feedback for our Slovenian version of Magic Ball (Magična Krogla) we decided to improve the app add more fun functionalities and make it international.,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.ImageView
6,LotoActivity,IZPIŠI ŠTEVILKE Do (vključno z) Do (vključno z) Od (vključno z) From (including) How many? How many? (neobvezno)Drugi Set Prvi Set,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
7,BFFActivity,CALCULATE Enter your friend's full name: Enter your full name:,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView com.google.android.gms.ads.AdView
8,AnswerActivity,Ne razumem vprašanja. MENI NOVO VPRAŠANJE,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
9,LoveResultActivity,% LJUBEZENSKO UJEMANJE: & MENU CHANGE NAMES,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
10,BFFResultActivity,% PRIJATELJSKO UJEMANJE: & MENU SPREMENI IMENA,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
11,LotoResultActivity,Lucky Numbers: MENU SPREMENI ŠTEVILKE,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
