id,label,text,view
0,MainActivity,Hello World!,android.widget.RelativeLayout android.widget.TextView
1,BusStopListActivity,Search Service No,android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.EditText android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
2,StopNoResultListActivity,Search Stop No#,android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.EditText android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
3,BusResultStopListActivity,Search,android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.EditText android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
4,SplashActivity,Singapore Transit & Bus Tracker,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
5,BusRouteActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore Search Bus Routes,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.EditText android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
6,TripPlannerFragmentActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore Trip Planner,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.TextView
7,EstTimesActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore There is no train alert at this moment! Search Expressway Travel Time,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.RecyclerView android.widget.EditText android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
8,FavoriteActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore No Favorite found Favorite,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar android.widget.TextView
9,StopNoActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore Search By Stop Stop Number Here... Stop Number,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.RecyclerView android.widget.Button android.widget.EditText android.support.v7.widget.Toolbar android.widget.TextView
10,MapsActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore Intercity Map Cork Map Dublin Map Map,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout com.singaporetransit.singaporebus.utils.SubsamplingScaleImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView
11,TaxiAvailabilityActivity,Share Like the app Update Feedback Taxi Availability Stop Number Maps Stop Number Favorite Expressway Travel Time Bus Trip Planner Singapore Taxi Availability,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
