id,label,text,view
0,Settings,Settings Password User Id Login,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.ImageView android.widget.TextView
1,Askpin,Sign In Enter 4 Digit PIN The Application is protected with Security PIN. Please Enter your security PIN to open the application. Sign In,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView
2,MainMenu,TextView Home,android.widget.LinearLayout android.widget.GridView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.LinearLayout android.widget.TextView
3,Security,Save Skip Confirm 4 Digit PIN 4 Digit PIN OFF ON Security Settings,android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView
4,SimplePayActivity,null,null
5,MobileRecharge,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN Amount must be valid Amount Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Mobile Recharge,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
6,DthRecharge,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN Amount must be valid Amount Select Operator DTH Operator Subscriber Number DTH Recharge,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
7,DataCard,Proceed to Recharge We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN Amount must be valid Amount Select Operator Data Card Operator Mobile number must be 10 digits Number Data Recharge,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
8,Postpaid,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN Amount must be valid Amount Select Operator Mobile Operator Mobile number must be 10 digits Mobile Number Postpaid Bills,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
9,Electricity,Proceed to Pay We are not responsible for any wrong recharges please double check the mobile number and amount before recharging. PIN Amount must be valid Amount Select Provider Provider Account No Electricity,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
