id,label,text,view
0,MainActivity,Liked Share Rate Start,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView views.SqureLinearView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.view.View android.widget.FrameLayout views.ProportionalImageView
1,MySavedArtActivity,No Images Found! 0 My Gallery,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
2,DesignsCategoryActivity,Stylish Designs Kids Designs Choli Designs Latest Designs Inline Designs Bridal Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
3,DesignActivity1,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
4,ViewImage,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
5,DesignActivity2,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
6,DesignActivity3,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
7,DesignActivity4,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
8,DesignActivity5,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,DesignActivity6,No Images Found! 0 Lehenga Choli Designs,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
10,ViewImage4,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
11,ViewImage1,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
12,ViewImage2,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
13,ViewImage3,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
14,ViewImage5,My Images,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.lehengacholidesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
15,ViewSavedImage,My Saved Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView
