id,label,text,view
0,SplashActivity,0,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView
1,MainActivity,Liked Share Rate Start,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView views.SqureLinearView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView views.SqureLinearView android.widget.ImageView android.view.View android.widget.FrameLayout views.ProportionalImageView
2,MySavedArtActivity,No Images Found! 0 My Gallery,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
3,DesignsCategoryActivity,Kameez Designs Trending Designs Neck Line Designs Top Model Designs Latest Designs C Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
4,DesignActivity1,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
5,ViewImage,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
6,DesignActivity2,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
7,DesignActivity3,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
8,DesignActivity4,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,DesignActivity5,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
10,DesignActivity6,No Images Found! 0 Salwar Neck Designs,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
11,ViewImage4,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
12,ViewImage1,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
13,ViewImage2,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
14,ViewImage3,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
15,ViewImage5,My Images,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.spapian.salwarneckdesigns.CustomViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
16,ViewSavedImage,My Saved Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView
