id,label,text,view
0,Splash1,Birthday Effect Video Maker Birthday Effect Video Maker,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
1,Act_Slash,Space for ads Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView
2,Act_Magic_Gallery,Album not Created yet My Creation,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.magi.birth.view.EmptyRecyclerView android.widget.LinearLayout android.widget.TextView
3,Act_Magic_Theme1,Birthday Effect Video Maker Birthday Effect Video Maker Library Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout com.effect.birth.activity.ScrollableGridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView androidx.appcompat.widget.Toolbar
4,Act_Slide_Preview_Image,Frame animation time Birthday Effect Video Maker 00:00 00:00 Please wait... Birthday Effect Video Maker,androidx.coordinatorlayout.widget.CoordinatorLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView androidx.drawerlayout.widget.DrawerLayout android.widget.RelativeLayout androidx.appcompat.widget.Toolbar android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.effect.birth.view.VideoPreviews com.effect.birth.view.VideoPreviews
5,Act_Slide_Gallery,please select some photos. (1) clear,androidx.drawerlayout.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.effect.birth.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.effect.birth.view.DataObserver1 android.widget.RelativeLayout android.widget.TextView com.effect.birth.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View androidx.recyclerview.widget.RecyclerView android.view.View android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.view.View androidx.appcompat.widget.Toolbar
6,Act_Frame_Bg,Space for ads Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Select Frame,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.view.View android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView
7,Act_Magic_Theme2,Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
8,Act_Magic_Preview,Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Preview Create Video,android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView
9,Act_Magic_Share,Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Share Video Birthday Effect Video Maker,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
10,Act_Slide_Share,Space for ads Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker 01:00 01:00 Birthday Effect Video Maker Share creation,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout androidx.cardview.widget.CardView com.effect.birth.view.ResizedImageViewRel android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.view.View com.effect.birth.view.PlayPauseListner1 android.widget.RelativeLayout android.view.View android.widget.TextView
11,Act_Magic_Gallery2,Images not selected yet (1) clear Select Image Birthday Effect Video Maker,android.widget.FrameLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.magi.birth.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.magi.birth.view.EmptyRecyclerView android.widget.RelativeLayout android.widget.TextView com.magi.birth.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View androidx.recyclerview.widget.RecyclerView android.view.View android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
12,Act_Magic_Music,End: Fast forward Play Rewind Start: Birthday Effect Video Maker Birthday Effect Video Maker .0. .0. Birthday Effect Video Maker Birthday Effect Video Maker My Album back Birthday Effect Video Maker,android.widget.FrameLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.EditText android.widget.ImageView androidx.recyclerview.widget.RecyclerView android.widget.ImageView android.widget.AbsoluteLayout com.magi.birth.view.MarkerView com.magi.birth.view.MarkerView com.magi.birth.view.WaveformView android.widget.ImageView android.view.View android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
13,Act_Magic_Video_Maker,images Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Select Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.TextView android.widget.RelativeLayout androidx.cardview.widget.CardView com.google.android.exoplayer2.ui.AspectRatioFrameLayout com.google.android.exoplayer2.ui.SimpleExoPlayerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
14,ActCropPhoto,Birthday Effect Video Maker Birthday Effect Video Maker Birthday Effect Video Maker Full Crop Birthday Effect Video Maker,android.widget.RelativeLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView com.naver.android.helloyako.imagecrop.view.ImageCropView android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
