id,label,text,view
0,Loading_AppCompatActivity,Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music,android.widget.RelativeLayout android.widget.ImageView com.lib.spcm.activity.ScalableImageView
1,Start_AppCompatActivity,Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
2,Share_Video_AppCompatActivity,Reserve Space for admob_Ads Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music 01:00 01:00 Love Video Maker Photo Slideshow With Music Share creation,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.CardView com.lib.spcm.view.ResizedImageViewRel android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.view.View com.lib.spcm.view.PlayPauseListner1 android.widget.TextView
3,Ads_Exit_AppCompatActivity,Love Video Maker Photo Slideshow With Music More Apps From Developers [ADS] Love Video Maker Photo Slideshow With Music,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
4,Choose_Images_AppCompatActivity,Images not selected yet (1) clear,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.lib.spcm.view.VerticalSlidingPanel android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.lib.spcm.view.DataObserver1 android.widget.RelativeLayout android.widget.TextView com.lib.spcm.view.ExpandIconView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar
5,Swap_Images_AppCompatActivity,Love Video Maker Photo Slideshow With Music please saved some video first Love Video Maker Photo Slideshow With Music Swap Images,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.AdView com.lib.spcm.view.DataObserver1 android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
6,Mp3_Cutters_AppCompatActivity,End: Fast forward Play Rewind Start: Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music .0 . .0 . Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.EditText com.google.android.gms.ads.AdView android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.AbsoluteLayout com.lib.spcm.view.Mp3Marker com.lib.spcm.view.Mp3Marker com.lib.spcm.view.WaveformDraws android.widget.ImageView android.widget.ImageView android.support.v7.widget.Toolbar
7,Photo_Effects_AppCompatActivity,Select Duration Love Video Maker Photo Slideshow With Music 00:00 00:00 Change the style Love Video Maker Photo Slideshow With Music,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.support.v7.widget.Toolbar android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.lib.spcm.view.VideoPreviews com.lib.spcm.view.VideoPreviews
8,Photo_Effects_Dwn_AppCompatActivity,Reserve Space for admob_Ads Saving Progress 1% Love Video Maker Photo Slideshow With Music Please wait the video will be created in a moment,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.TextView android.widget.ImageView android.widget.TextView android.support.v7.widget.Toolbar
9,Effects_AppCompatActivity,Reserve Space for admob_Ads Use Love Video Maker Photo Slideshow With Music Use Love Video Maker Photo Slideshow With Music Select Video Effects,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
10,Saved_Video_AppCompatActivity,Love Video Maker Photo Slideshow With Music Album not Created yet Reserve Space for admob_Ads Love Video Maker Photo Slideshow With Music Saved Video Creation,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View com.lib.spcm.view.DataObserver1 android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
11,Show_Creation_AppCompatActivity,null,android.widget.RelativeLayout android.widget.VideoView
12,Video_With_Effects_Dwn_AppCompatActivity,Reserve Space for admob_Ads Saving Progress 1% Love Video Maker Photo Slideshow With Music Please wait the video will be created in a moment,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.view.View android.widget.TextView android.widget.ImageView android.widget.TextView android.support.v7.widget.Toolbar
13,Video_With_Effects_AppCompatActivity,Select Duration Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music 00:00 00:00 Change the style Love Video Maker Photo Slideshow With Music Love Video Maker Photo Slideshow With Music,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.TextView android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.support.v7.widget.Toolbar android.widget.ImageView android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.ImageView android.view.View com.lib.spcm.view.VideoPreviews com.lib.spcm.view.VideoPreviews
